protraits_taxID;protraits_genus;protraits_species;protraits_strain;protraits_speciesStrain;protraits_misclassified;protraits_gram;protraits_substrate;protraits_source
72556;Achromobacter;Achromobacter piechaudii;;Achromobacter piechaudii;no;negative;d-malicAcid|glutamate|α-ketoglutaricAcid|alanine|propionate|aspartate|l-pyroglutamicAcid|mucicAcid;
85698;Achromobacter;Achromobacter xylosoxidans;;Achromobacter xylosoxidans;no;negative;d-malicAcid|glutamate|α-ketoglutaricAcid|alanine|aspartate|l-pyroglutamicAcid|mucicAcid;
905;Acidaminococcus;Acidaminococcus fermentans;;Acidaminococcus fermentans;no;;;freeLiving
187327;Acidaminococcus;Acidaminococcus intestini;;Acidaminococcus intestini;no;;esteraseLipaseC8;host
1111120;Acidaminococcus;Acidaminococcus sp. ;BV3L6;Acidaminococcus sp. BV3L6;no;;;host
563191;Acidaminococcus;Acidaminococcus sp. ;D21;Acidaminococcus sp. D21;no;;;host
1203555;Acidaminococcus;Acidaminococcus sp. ;HPA0509;Acidaminococcus sp. HPA0509;no;;;host
563177;Acidianus;Acidianus hospitalis;;Acidianus hospitalis;no;negative;;freeLiving
242703;Acidilobus;Acidilobus saccharovorans;;Acidilobus saccharovorans;no;;;freeLiving
53635;Acidimicrobium;Acidimicrobium ferrooxidans;;Acidimicrobium ferrooxidans;no;;;freeLiving
524;Acidiphilium;Acidiphilium cryptum;;Acidiphilium cryptum;no;negative;;mine|freeLiving
62140;Acidiphilium;Acidiphilium multivorum;;Acidiphilium multivorum;no;negative;;mine
33059;Acidithiobacillus;Acidithiobacillus caldus;;Acidithiobacillus caldus;no;negative;α-ketoglutaricAcid;freeLiving
160808;Acidithiobacillus;Acidithiobacillus ferrivorans;;Acidithiobacillus ferrivorans;no;negative;;mine
920;Acidithiobacillus;Acidithiobacillus ferrooxidans;;Acidithiobacillus ferrooxidans;no;negative;;mine|freeLiving
1267533;Acidobacteriaceae;Acidobacteriaceae bacterium ;KBS 83;Acidobacteriaceae bacterium KBS 83;no;negative;;
1267534;Acidobacteriaceae;Acidobacteriaceae bacterium ;KBS 89;Acidobacteriaceae bacterium KBS 89;no;negative;;
1267535;Acidobacteriaceae;Acidobacteriaceae bacterium ;KBS 96;Acidobacteriaceae bacterium KBS 96;no;negative;;
278963;Acidobacteriaceae;Acidobacteriaceae bacterium ;TAA166;Acidobacteriaceae bacterium TAA166;no;negative;;
33075;Acidobacterium;Acidobacterium capsulatum;;Acidobacterium capsulatum;no;negative;;freeLiving
28049;Acidothermus;Acidothermus cellulolyticus;;Acidothermus cellulolyticus;no;positive;;
80867;Acidovorax;Acidovorax avenae;;Acidovorax avenae;no;negative;esteraseLipaseC8|glutamate|glycerol|α-ketoglutaricAcid|alanine;host
80869;Acidovorax;Acidovorax citrulli;;Acidovorax citrulli;no;negative;esteraseLipaseC8|α-ketoglutaricAcid|alanine;host|phylloplane
721785;Acidovorax;Acidovorax ebreus;;Acidovorax ebreus;no;negative;esteraseLipaseC8|α-ketoglutaricAcid|alanine|aspartate;freeLiving
758826;Acidovorax;Acidovorax radicis;;Acidovorax radicis;no;negative;α-ketoglutaricAcid|alanine;
232721;Acidovorax;Acidovorax sp. ;JS42;Acidovorax sp. JS42;no;negative;α-ketoglutaricAcid|aspartate;freeLiving
358220;Acidovorax;Acidovorax sp. ;KKS102;Acidovorax sp. KKS102;no;negative;glutamate|α-ketoglutaricAcid|alanine|aspartate;
512030;Acidovorax;Acidovorax sp. ;NO-1;Acidovorax sp. NO-1;no;negative;α-ketoglutaricAcid;
379547;Aciduliprofundum;Aciduliprofundum boonei;;Aciduliprofundum boonei;no;;;freeLiving
673860;Aciduliprofundum;Aciduliprofundum sp. ;MAR08-339;Aciduliprofundum sp. MAR08-339;no;;;freeLiving|single
470;Acinetobacter;Acinetobacter baumannii;;Acinetobacter baumannii;no;negative;esteraseLipaseC8|glutamate|catalase|acetate|adipate|aspartate|ethanol|histidine|l-arginine;host
202950;Acinetobacter;Acinetobacter baylyi;;Acinetobacter baylyi;no;negative;glutamate|adipate|ethanol;
262668;Acinetobacter;Acinetobacter beijerinckii;;Acinetobacter beijerinckii;no;negative;esteraseLipaseC8|glutamate|catalase|ethanol;
106648;Acinetobacter;Acinetobacter bereziniae;;Acinetobacter bereziniae;no;negative;glutamate|catalase|adipate|ethanol;
1435036;Acinetobacter;Acinetobacter bohemicus;;Acinetobacter bohemicus;no;negative;glutamate|catalase|ethanol;
396323;Acinetobacter;Acinetobacter brisouii;;Acinetobacter brisouii;no;negative;ethanol;
471;Acinetobacter;Acinetobacter calcoaceticus;;Acinetobacter calcoaceticus;no;negative;glutamate|catalase|adipate|aspartate|ethanol|histidine|l-arginine;host
202952;Acinetobacter;Acinetobacter gerneri;;Acinetobacter gerneri;no;negative;catalase|ethanol;
106649;Acinetobacter;Acinetobacter guillouiae;;Acinetobacter guillouiae;no;negative;esteraseLipaseC8|glutamate|catalase|ethanol;
134534;Acinetobacter;Acinetobacter gyllenbergii;;Acinetobacter gyllenbergii;no;negative;glutamate|catalase|ethanol;
29430;Acinetobacter;Acinetobacter haemolyticus;;Acinetobacter haemolyticus;no;negative;catalase|ethanol;
756892;Acinetobacter;Acinetobacter indicus;;Acinetobacter indicus;no;negative;ethanol;
40214;Acinetobacter;Acinetobacter johnsonii;;Acinetobacter johnsonii;no;negative;catalase|acetate|benzoate|ethanol;
40215;Acinetobacter;Acinetobacter junii;;Acinetobacter junii;no;negative;esteraseLipaseC8|catalase|ethanol;
28090;Acinetobacter;Acinetobacter lwoffii;;Acinetobacter lwoffii;no;negative;ethanol;
106654;Acinetobacter;Acinetobacter nosocomialis;;Acinetobacter nosocomialis;no;negative;glutamate|catalase|acetate|adipate|aspartate|ethanol|l-arginine;
1148157;Acinetobacter;Acinetobacter oleivorans;;Acinetobacter oleivorans;no;negative;glutamate|lactate|catalase|acetate|lipaseC14|adipate|aspartate|ethanol|histidine|l-arginine;
134533;Acinetobacter;Acinetobacter parvus;;Acinetobacter parvus;no;negative;catalase|ethanol;
48296;Acinetobacter;Acinetobacter pittii;;Acinetobacter pittii;no;negative;glutamate|catalase|acetate|adipate|aspartate|ethanol|l-arginine;
40216;Acinetobacter;Acinetobacter radioresistens;;Acinetobacter radioresistens;no;negative;esteraseLipaseC8|ethanol;
632955;Acinetobacter;Acinetobacter rudis;;Acinetobacter rudis;no;negative;glutamate|catalase|ethanol;
108981;Acinetobacter;Acinetobacter schindleri;;Acinetobacter schindleri;no;negative;catalase|ethanol;
487316;Acinetobacter;Acinetobacter soli;;Acinetobacter soli;no;negative;glutamate|adipate|ethanol;
62977;Acinetobacter;Acinetobacter sp. ;ADP1;Acinetobacter sp. ADP1;no;negative;glutamate|catalase|α-ketoglutaricAcid|d-saccharate|acetate|adipate|aspartate|benzoate|ethanol|l-arginine|α-hydroxybutyricAcid;
1217714;Acinetobacter;Acinetobacter sp. ;ANC 3789;Acinetobacter sp. ANC 3789;no;negative;ethanol;
1217705;Acinetobacter;Acinetobacter sp. ;ANC 3862;Acinetobacter sp. ANC 3862;no;negative;glutamate|catalase|ethanol;
1217701;Acinetobacter;Acinetobacter sp. ;ANC 3880;Acinetobacter sp. ANC 3880;no;negative;glutamate|catalase|ethanol;
1217707;Acinetobacter;Acinetobacter sp. ;ANC 3929;Acinetobacter sp. ANC 3929;no;negative;glutamate|catalase|ethanol;
1217703;Acinetobacter;Acinetobacter sp. ;ANC 4105;Acinetobacter sp. ANC 4105;no;negative;glutamate|catalase|ethanol;
1144661;Acinetobacter;Acinetobacter sp. ;CIP 101934;Acinetobacter sp. CIP 101934;no;negative;benzoate|ethanol;
1144662;Acinetobacter;Acinetobacter sp. ;CIP 101966;Acinetobacter sp. CIP 101966;no;negative;catalase|adipate|ethanol;
1144663;Acinetobacter;Acinetobacter sp. ;CIP 102082;Acinetobacter sp. CIP 102082;no;negative;ethanol;
1144664;Acinetobacter;Acinetobacter sp. ;CIP 102129;Acinetobacter sp. CIP 102129;no;negative;ethanol;
1144665;Acinetobacter;Acinetobacter sp. ;CIP 102136;Acinetobacter sp. CIP 102136;no;negative;catalase|adipate|ethanol;
1144666;Acinetobacter;Acinetobacter sp. ;CIP 102143;Acinetobacter sp. CIP 102143;no;negative;ethanol;
1144667;Acinetobacter;Acinetobacter sp. ;CIP 102159;Acinetobacter sp. CIP 102159;no;negative;ethanol;
1144668;Acinetobacter;Acinetobacter sp. ;CIP 102529;Acinetobacter sp. CIP 102529;no;negative;ethanol;
1144669;Acinetobacter;Acinetobacter sp. ;CIP 102637;Acinetobacter sp. CIP 102637;no;negative;catalase|ethanol;
1144670;Acinetobacter;Acinetobacter sp. ;CIP 51.11;Acinetobacter sp. CIP 51.11;no;negative;catalase|benzoate|ethanol;
1144671;Acinetobacter;Acinetobacter sp. ;CIP 53.82;Acinetobacter sp. CIP 53.82;no;negative;ethanol;
1144672;Acinetobacter;Acinetobacter sp. ;CIP 56.2;Acinetobacter sp. CIP 56.2;no;negative;glutamate|catalase|ethanol;
1217694;Acinetobacter;Acinetobacter sp. ;CIP 64.2;Acinetobacter sp. CIP 64.2;no;negative;esteraseLipaseC8|glutamate|catalase|ethanol;
1144673;Acinetobacter;Acinetobacter sp. ;CIP 64.7;Acinetobacter sp. CIP 64.7;no;negative;adipate|ethanol;
1217700;Acinetobacter;Acinetobacter sp. ;CIP 70.18;Acinetobacter sp. CIP 70.18;no;negative;glutamate|catalase|ethanol;
1144674;Acinetobacter;Acinetobacter sp. ;CIP A162;Acinetobacter sp. CIP A162;no;negative;acetate|adipate|ethanol;
40373;Acinetobacter;Acinetobacter sp. ;CIP-A165;Acinetobacter sp. CIP-A165;no;negative;catalase|ethanol;
651305;Acinetobacter;Acinetobacter sp. ;GG2;Acinetobacter sp. GG2;no;negative;glutamate|catalase|adipate|aspartate|ethanol|histidine|l-arginine;
1071390;Acinetobacter;Acinetobacter sp. ;NBRC 100985;Acinetobacter sp. NBRC 100985;no;negative;glutamate|catalase|ethanol;
981223;Acinetobacter;Acinetobacter sp. ;NCTC 7422;Acinetobacter sp. NCTC 7422;no;negative;glutamate|catalase|ethanol;
1217697;Acinetobacter;Acinetobacter sp. ;NIPH 1847;Acinetobacter sp. NIPH 1847;no;negative;glutamate|catalase|ethanol;
1217695;Acinetobacter;Acinetobacter sp. ;NIPH 1859;Acinetobacter sp. NIPH 1859;no;negative;glutamate|catalase|ethanol;
1217702;Acinetobacter;Acinetobacter sp. ;NIPH 1867;Acinetobacter sp. NIPH 1867;no;negative;glutamate|catalase|ethanol;
1217696;Acinetobacter;Acinetobacter sp. ;NIPH 2036;Acinetobacter sp. NIPH 2036;no;negative;catalase|ethanol;
1217708;Acinetobacter;Acinetobacter sp. ;NIPH 2100;Acinetobacter sp. NIPH 2100;no;negative;glutamate|catalase|ethanol;
1217706;Acinetobacter;Acinetobacter sp. ;NIPH 2168;Acinetobacter sp. NIPH 2168;no;negative;glutamate|catalase|ethanol;
1217693;Acinetobacter;Acinetobacter sp. ;NIPH 2171;Acinetobacter sp. NIPH 2171;no;negative;benzoate|ethanol;
1217711;Acinetobacter;Acinetobacter sp. ;NIPH 236;Acinetobacter sp. NIPH 236;no;negative;glutamate|catalase|ethanol;
1217704;Acinetobacter;Acinetobacter sp. ;NIPH 284;Acinetobacter sp. NIPH 284;no;negative;catalase|ethanol;
1217692;Acinetobacter;Acinetobacter sp. ;NIPH 298;Acinetobacter sp. NIPH 298;no;negative;glutamate|catalase|ethanol;
1217698;Acinetobacter;Acinetobacter sp. ;NIPH 3623;Acinetobacter sp. NIPH 3623;no;negative;esteraseLipaseC8|glutamate|catalase|ethanol;
1217688;Acinetobacter;Acinetobacter sp. ;NIPH 542;Acinetobacter sp. NIPH 542;no;negative;glutamate|catalase|adipate|aspartate|ethanol|histidine|l-arginine;
1217709;Acinetobacter;Acinetobacter sp. ;NIPH 713;Acinetobacter sp. NIPH 713;no;negative;catalase|ethanol;
1217712;Acinetobacter;Acinetobacter sp. ;NIPH 758;Acinetobacter sp. NIPH 758;no;negative;glutamate|catalase|ethanol;
1217713;Acinetobacter;Acinetobacter sp. ;NIPH 809;Acinetobacter sp. NIPH 809;no;negative;glutamate|catalase|ethanol;
520708;Acinetobacter;Acinetobacter sp. ;NIPH 817;Acinetobacter sp. NIPH 817;no;negative;glutamate|catalase|adipate|aspartate|ethanol|histidine|l-arginine;
1217710;Acinetobacter;Acinetobacter sp. ;NIPH 899;Acinetobacter sp. NIPH 899;no;negative;catalase|ethanol;
520709;Acinetobacter;Acinetobacter sp. ;NIPH 973;Acinetobacter sp. NIPH 973;no;negative;glutamate|catalase|adipate|aspartate|ethanol|histidine|l-arginine;
903916;Acinetobacter;Acinetobacter sp. ;WC-136;Acinetobacter sp. WC-136;no;negative;glutamate|catalase|adipate|aspartate|ethanol|histidine|l-arginine;
903945;Acinetobacter;Acinetobacter sp. ;WC-743;Acinetobacter sp. WC-743;no;negative;glutamate|catalase|adipate|aspartate|ethanol;
202956;Acinetobacter;Acinetobacter towneri;;Acinetobacter towneri;no;negative;ethanol;
108980;Acinetobacter;Acinetobacter ursingii;;Acinetobacter ursingii;no;negative;esteraseLipaseC8|glutamate|catalase|ethanol;
52133;Acinetobacter;Acinetobacter venetianus;;Acinetobacter venetianus;no;negative;esteraseLipaseC8|glutamate|catalase|ethanol;
65497;Actinoalloteichus;Actinoalloteichus cyanogriseus;;Actinoalloteichus cyanogriseus;no;positive;l-arabinose;
715;Actinobacillus;Actinobacillus pleuropneumoniae;;Actinobacillus pleuropneumoniae;no;negative;esteraseLipaseC8;host
67854;Actinobacillus;Actinobacillus succinogenes;;Actinobacillus succinogenes;no;negative;;host|foregut|rumen
716;Actinobacillus;Actinobacillus suis;;Actinobacillus suis;no;negative;;host
202789;Actinobaculum;Actinobaculum massiliense;;Actinobaculum massiliense;no;;;
59505;Actinobaculum;Actinobaculum schaalii;;Actinobaculum schaalii;no;;;
181487;Actinomyces;Actinomyces cardiffensis;;Actinomyces cardiffensis;no;;;
66228;Actinomyces;Actinomyces europaeus;;Actinomyces europaeus;no;;;
52768;Actinomyces;Actinomyces georgiae;;Actinomyces georgiae;no;;;
52769;Actinomyces;Actinomyces gerencseriae;;Actinomyces gerencseriae;no;;;
55565;Actinomyces;Actinomyces graevenitzii;;Actinomyces graevenitzii;no;;;
1659;Actinomyces;Actinomyces israelii;;Actinomyces israelii;no;;;host
1655;Actinomyces;Actinomyces naeslundii;;Actinomyces naeslundii;no;;;host
33007;Actinomyces;Actinomyces neuii;;Actinomyces neuii;no;;;
1660;Actinomyces;Actinomyces odontolyticus;;Actinomyces odontolyticus;no;positive;;host
1203556;Actinomyces;Actinomyces sp. ;HPA0247;Actinomyces sp. HPA0247;no;;;host
712119;Actinomyces;Actinomyces sp. ;oral taxon 175;Actinomyces sp. oral taxon 175;no;positive;;
651609;Actinomyces;Actinomyces sp. ;oral taxon 180;Actinomyces sp. oral taxon 180;no;;;
712124;Actinomyces;Actinomyces sp. ;oral taxon 448;Actinomyces sp. oral taxon 448;no;;;
649739;Actinomyces;Actinomyces sp. ;oral taxon 848;Actinomyces sp. oral taxon 848;no;;;
121163;Actinomyces;Actinomyces suimastitidis;;Actinomyces suimastitidis;no;;;
131111;Actinomyces;Actinomyces turicensis;;Actinomyces turicensis;no;positive;;host
183916;Actinomyces;Actinomyces vaccimaxillae;;Actinomyces vaccimaxillae;no;;;
1656;Actinomyces;Actinomyces viscosus;;Actinomyces viscosus;no;;;
1866;Actinoplanes;Actinoplanes missouriensis;;Actinoplanes missouriensis;no;positive;l-arabinose;freeLiving
649831;Actinoplanes;Actinoplanes sp. ;N902-109;Actinoplanes sp. N902-109;no;positive;l-arabinose;freeLiving
134676;Actinoplanes;Actinoplanes sp. ;SE50/110;Actinoplanes sp. SE50/110;no;positive;l-arabinose;freeLiving
33906;Actinopolyspora;Actinopolyspora mortivallis;;Actinopolyspora mortivallis;no;positive;;
40567;Actinosynnema;Actinosynnema mirum;;Actinosynnema mirum;no;positive;l-arabinose;freeLiving
299567;Adhaeribacter;Adhaeribacter aquaticus;;Adhaeribacter aquaticus;no;negative;;
446660;Adlercreutzia;Adlercreutzia equolifaciens;;Adlercreutzia equolifaciens;no;;;
310575;Advenella;Advenella kashmirensis;;Advenella kashmirensis;no;negative;α-ketoglutaricAcid;freeLiving
487317;Aequorivita;Aequorivita capsosiphonis;;Aequorivita capsosiphonis;no;negative;dextrin;
101385;Aequorivita;Aequorivita sublithincola;;Aequorivita sublithincola;no;negative;dextrin;freeLiving
1376;Aerococcus;Aerococcus urinae;;Aerococcus urinae;no;;dextrin;host
219314;Aeromicrobium;Aeromicrobium marinum;;Aeromicrobium marinum;no;positive;l-arabinose;
644;Aeromonas;Aeromonas hydrophila;;Aeromonas hydrophila;no;negative;esteraseLipaseC8|glutamate|glycerol|mannitol|n-acetylglucosamine|alanine|gluconate|acetate|aspartate;host
651;Aeromonas;Aeromonas media;;Aeromonas media;no;;;
645;Aeromonas;Aeromonas salmonicida;;Aeromonas salmonicida;no;negative;alkalinePhosphatase|esteraseLipaseC8|mannitol;host
1282886;Aeromonas;Aeromonas sp. ;MDS8;Aeromonas sp. MDS8;no;negative;;
654;Aeromonas;Aeromonas veronii;;Aeromonas veronii;no;negative;alkalinePhosphatase|esteraseLipaseC8|glycerol|mannitol|n-acetylglucosamine|acetate|aspartate;host
229980;Aeropyrum;Aeropyrum camini;;Aeropyrum camini;no;;;
56636;Aeropyrum;Aeropyrum pernix;;Aeropyrum pernix;no;;;aquatic|hydrothermalVent|freeLiving|single
396389;Aestuariimicrobium;Aestuariimicrobium kwangyangense;;Aestuariimicrobium kwangyangense;no;;;
56946;Afipia;Afipia broomeae;;Afipia broomeae;no;negative;;
1034;Afipia;Afipia clevelandensis;;Afipia clevelandensis;no;negative;;
1035;Afipia;Afipia felis;;Afipia felis;no;negative;;
666684;Afipia;Afipia sp. ;1NLS2;Afipia sp. 1NLS2;no;negative;;
714;Aggregatibacter;Aggregatibacter actinomycetemcomitans;;Aggregatibacter actinomycetemcomitans;no;negative;;host
732;Aggregatibacter;Aggregatibacter aphrophilus;;Aggregatibacter aphrophilus;no;negative;esteraseLipaseC8|glucose;host
739;Aggregatibacter;Aggregatibacter segnis;;Aggregatibacter segnis;no;negative;esteraseLipaseC8;host
147266;Agrobacterium;Agrobacterium albertimagni;;Agrobacterium albertimagni;no;negative;methylΒ-d-xylopyranoside;
1176649;Agrobacterium;Agrobacterium fabrum;;Agrobacterium fabrum;no;negative;turanose|methylΒ-d-xylopyranoside;rhizoplane|rootNodule
1167635;Agrobacterium;Agrobacterium sp. ;224MFTsu3.1;Agrobacterium sp. 224MFTsu3.1;no;negative;methylΒ-d-xylopyranoside;
82789;Agrobacterium;Agrobacterium sp. ;ATCC 31749;Agrobacterium sp. ATCC 31749;no;negative;methylΒ-d-xylopyranoside;rootNodule
861208;Agrobacterium;Agrobacterium sp. ;H13-3;Agrobacterium sp. H13-3;no;negative;methylΒ-d-xylopyranoside;plants|rootNodule
358;Agrobacterium;Agrobacterium tumefaciens;;Agrobacterium tumefaciens;no;negative;d-arabinose|l-arabitol|methylΒ-d-xylopyranoside;host|plants|rootNodule
373;Agrobacterium;Agrobacterium vitis;;Agrobacterium vitis;no;negative;alkalinePhosphatase|methylΒ-d-xylopyranoside;rootNodule
341722;Agrococcus;Agrococcus lahaulensis;;Agrococcus lahaulensis;no;;;
1346502;Agrococcus;Agrococcus pavilionensis;;Agrococcus pavilionensis;no;;;
279572;Agromyces;Agromyces italicus;;Agromyces italicus;no;;;
293890;Agromyces;Agromyces subbeticus;;Agromyces subbeticus;no;;;
744979;Ahrensia;Ahrensia sp. ;R2A130;Ahrensia sp. R2A130;no;negative;;
239935;Akkermansia;Akkermansia muciniphila;;Akkermansia muciniphila;no;negative;;host
511;Alcaligenes;Alcaligenes faecalis;;Alcaligenes faecalis;no;;esteraseC4;host
59754;Alcanivorax;Alcanivorax borkumensis;;Alcanivorax borkumensis;no;negative;alkalinePhosphatase|esteraseLipaseC8|catalase;freeLiving
285091;Alcanivorax;Alcanivorax dieselolei;;Alcanivorax dieselolei;no;negative;esteraseLipaseC8|esteraseC4|α-ketoglutaricAcid|alanine|lipaseC14;freeLiving
1306787;Alcanivorax;Alcanivorax pacificus;;Alcanivorax pacificus;no;negative;esteraseLipaseC8;
236097;Alcanivorax;Alcanivorax sp. ;DG881;Alcanivorax sp. DG881;no;negative;alkalinePhosphatase|esteraseLipaseC8|catalase|lipaseC14|oxidase;freeLiving
388413;Algoriphagus;Algoriphagus machipongonensis;;Algoriphagus machipongonensis;no;negative;;
264027;Algoriphagus;Algoriphagus marincola;;Algoriphagus marincola;no;negative;;
344884;Algoriphagus;Algoriphagus terrigena;;Algoriphagus terrigena;no;negative;catalase;
179636;Alicycliphilus;Alicycliphilus denitrificans;;Alicycliphilus denitrificans;no;negative;alkalinePhosphatase|esteraseC4|glutamate|α-ketoglutaricAcid|alanine;freeLiving
405212;Alicyclobacillus;Alicyclobacillus acidocaldarius;;Alicyclobacillus acidocaldarius;no;;;freeLiving
89784;Alicyclobacillus;Alicyclobacillus hesperidum;;Alicyclobacillus hesperidum;no;;;
668;Aliivibrio;Aliivibrio fischeri;;Aliivibrio fischeri;no;negative;alkalinePhosphatase|esteraseLipaseC8|catalase;freeLiving
40269;Aliivibrio;Aliivibrio salmonicida;;Aliivibrio salmonicida;no;negative;esteraseLipaseC8|esteraseC4|oxidase;fish|freeLiving
545533;Alishewanella;Alishewanella jeotgali;;Alishewanella jeotgali;no;negative;;
214856;Alistipes;Alistipes finegoldii;;Alistipes finegoldii;no;negative;;host|fecal
626932;Alistipes;Alistipes indistinctus;;Alistipes indistinctus;no;negative;;
28117;Alistipes;Alistipes putredinis;;Alistipes putredinis;no;negative;;
1465754;Alistipes;Alistipes timonensis;;Alistipes timonensis;no;;;host
351052;Alkalilimnicola;Alkalilimnicola ehrlichii;;Alkalilimnicola ehrlichii;no;negative;esteraseLipaseC8|α-ketoglutaricAcid;freeLiving
208226;Alkaliphilus;Alkaliphilus metalliredigens;;Alkaliphilus metalliredigens;no;;;freeLiving
461876;Alkaliphilus;Alkaliphilus oremlandii;;Alkaliphilus oremlandii;no;;;freeLiving
174709;Allobaculum;Allobaculum stercoricanis;;Allobaculum stercoricanis;no;;;
1049;Allochromatium;Allochromatium vinosum;;Allochromatium vinosum;no;negative;;freeLiving
1652;Alloiococcus;Alloiococcus otitis;;Alloiococcus otitis;no;;fructose;host
671218;Alloprevotella;Alloprevotella rava;;Alloprevotella rava;no;negative;;host
76122;Alloprevotella;Alloprevotella tannerae;;Alloprevotella tannerae;no;negative;;host
419015;Alloscardovia;Alloscardovia omnicolens;;Alloscardovia omnicolens;no;positive;α-galactosidase;fecal
331869;alpha;alpha proteobacterium ;BAL199;alpha proteobacterium BAL199;no;negative;;
684719;alpha;alpha proteobacterium ;HIMB114;alpha proteobacterium HIMB114;no;negative;;
