patric_taxID;patric_genus;patric_species;patric_strain;patric_speciesStrain;patric_gram;patric_oxygen
339671;Actinobacillus;Actinobacillus succinogenes;130Z;Actinobacillus succinogenes 130Z;negative;
696748;Actinobacillus;Actinobacillus suis;H91-0380;Actinobacillus suis H91-0380;negative;facultative
1229203;Actinobacillus;actinobacterium LLX17;;actinobacterium LLX17;;
883066;actinobacterium;Actinobaculum massiliae;ACS-171-V-Col2;Actinobaculum massiliae ACS-171-V-Col2;positive;
1120932;Actinobaculum;Actinobaculum schaalii;DSM 15541;Actinobaculum schaalii DSM 15541;positive;facultative
883067;Actinobaculum;Actinobaculum schaalii;FB123-CNA-2;Actinobaculum schaalii FB123-CNA-2;positive;
1120933;Actinobaculum;Actinobaculum urinale;DSM 15805;Actinobaculum urinale DSM 15805;positive;facultative
1120934;Actinobaculum;Actinokineospora enzanensis;DSM 44649;Actinokineospora enzanensis DSM 44649;positive;
1120935;Actinokineospora;Actinokineospora inagensis;DSM 44258;Actinokineospora inagensis DSM 44258;positive;aerobic
909613;Actinokineospora;Actinokineospora sp.;EG49;Actinokineospora sp. EG49;positive;
1120936;Actinokineospora;Actinomadura atramentaria;DSM 43919;Actinomadura atramentaria DSM 43919;positive;aerobic
561175;Actinomadura;Actinomadura flavalba;DSM 45200;Actinomadura flavalba DSM 45200;positive;aerobic
1394178;Actinomadura;Actinomadura madurae;LIID-AJ290;Actinomadura madurae LIID-AJ290;positive;
1399798;Actinomadura;Actinomadura oligospora;ATCC 43269;Actinomadura oligospora ATCC 43269;positive;
1120937;Actinomadura;Actinomadura rifamycini;DSM 43936;Actinomadura rifamycini DSM 43936;positive;aerobic
525245;Actinomadura;Actinomyces coleocanis;DSM 15436;Actinomyces coleocanis DSM 15436;positive;facultative
1120941;Actinomyces;Actinomyces dentalis;DSM 19115;Actinomyces dentalis DSM 19115;positive;anaerobic
883069;Actinomyces;Actinomyces europaeus;ACS-120-V-Col10b;Actinomyces europaeus ACS-120-V-Col10b;positive;
1120942;Actinomyces;Actinomyces georgiae;DSM 6843;Actinomyces georgiae DSM 6843;positive;facultative
1120943;Actinomyces;Actinomyces gerencseriae;DSM 6844;Actinomyces gerencseriae DSM 6844;positive;obligate anaerobic
888439;Actinomyces;Actinomyces neuii;BVS029A5;Actinomyces neuii BVS029A5;positive;
1120945;Actinomyces;Actinomyces neuii;neuii DSM 8576;Actinomyces neuii subsp. neuii DSM 8576;positive;facultative
411466;Actinomyces;Actinomyces odontolyticus;ATCC 17982;Actinomyces odontolyticus ATCC 17982;positive;facultative
649742;Actinomyces;Actinomyces odontolyticus;F0309;Actinomyces odontolyticus F0309;positive;facultative
1278298;Actinomyces;Actinomyces slackii;ATCC 49928;Actinomyces slackii ATCC 49928;positive;
1203556;Actinomyces;Actinomyces sp.;HPA0247;Actinomyces sp. HPA0247;positive;
762963;Actinomyces;Actinomyces sp.;oral taxon 170 F0386;Actinomyces sp. oral taxon 170 str. F0386;positive;facultative
706439;Actinomyces;Actinomyces sp.;oral taxon 171 F0337;Actinomyces sp. oral taxon 171 str. F0337;;facultative
944560;Actinomyces;Actinomyces sp.;oral taxon 175 F0384;Actinomyces sp. oral taxon 175 str. F0384;;
888056;Actinomyces;Actinomyces sp.;oral taxon 448 F0400;Actinomyces sp. oral taxon 448 str. F0400;;
649743;Actinomyces;Actinomyces sp.;oral taxon 848 F0332;Actinomyces sp. oral taxon 848 str. F0332;positive;facultative
1120946;Actinomyces;Actinomyces suimastitidis;DSM 15538;Actinomyces suimastitidis DSM 15538;positive;facultative
883077;Actinomyces;Actinomyces turicensis;ACS-279-V-Col4;Actinomyces turicensis ACS-279-V-Col4;positive;
525246;Actinomyces;Actinomyces urogenitalis;DSM 15434;Actinomyces urogenitalis DSM 15434;positive;facultative
1120947;Actinomyces;Actinomyces vaccimaxillae;DSM 15804;Actinomyces vaccimaxillae DSM 15804;positive;facultative
562973;Actinomyces;Actinomyces viscosus;C505;Actinomyces viscosus C505;positive;anaerobic
1120948;Actinomyces;Actinomycetospora chiangmaiensis;DSM 45062;Actinomycetospora chiangmaiensis DSM 45062;positive;aerobic
1246995;Actinomycetospora;Actinoplanes friuliensis;DSM 7358;Actinoplanes friuliensis DSM 7358;positive;aerobic
1120949;Actinoplanes;Actinoplanes globisporus;DSM 43857;Actinoplanes globisporus DSM 43857;positive;
1120950;Actinoplanes;Actinopolymorpha alba;DSM 45243;Actinopolymorpha alba DSM 45243;positive;aerobic
1089546;Actinopolymorpha;Actinopolyspora halophila;DSM 43834;Actinopolyspora halophila DSM 43834;positive;
882080;Actinopolyspora;Actinopolyspora iraqiensis;IQ-H1;Actinopolyspora iraqiensis IQ-H1;positive;
1050202;Actinopolyspora;Actinopolyspora mortivallis;DSM 44261;Actinopolyspora mortivallis DSM 44261;positive;aerobic
479430;Actinopolyspora;Actinospica robiniae;DSM 44927;Actinospica robiniae DSM 44927;positive;
446462;Actinospica;Actinosynnema mirum;DSM 43827;Actinosynnema mirum DSM 43827;positive;
926549;Actinosynnema;Adhaeribacter aquaticus;DSM 16391;Adhaeribacter aquaticus DSM 16391;negative;obligate aerobic
1247726;Adhaeribacter;Advenella mimigardefordensis;DPN7;Advenella mimigardefordensis DPN7;negative;aerobic
1120951;Advenella;Aequorivita capsosiphonis;DSM 23843;Aequorivita capsosiphonis DSM 23843;negative;
746697;Aequorivita;Aequorivita sublithincola;DSM 14238;Aequorivita sublithincola DSM 14238;negative;aerobic
866775;Aequorivita;Aerococcus urinae;ACS-120-V-Col10a;Aerococcus urinae ACS-120-V-Col10a;positive;anaerobic
1120952;Aerococcus;Aerococcus urinaeequi;DSM 20341;Aerococcus urinaeequi DSM 20341;positive;facultative
655812;Aerococcus;Aerococcus viridans;;Aerococcus viridans;positive;microaerophilic
585531;Aerococcus;Aeromicrobium marinum;DSM 15272;Aeromicrobium marinum DSM 15272;positive;microaerophilic
1156800;Aeromicrobium;Aeromonas aquariorum;AAK1;Aeromonas aquariorum AAK1;negative;
1268237;Aeromonas;Aeromonas diversa;2478-85;Aeromonas diversa 2478-85;negative;facultative
1232673;Aeromonas;Aeromonas hydrophila;SNUFPC-A8;Aeromonas hydrophila SNUFPC-A8;negative;
1073377;Aeromonas;Aeromonas hydrophila;SSU;Aeromonas hydrophila SSU;positive;
380703;Aeromonas;Aeromonas hydrophila;hydrophila ATCC 7966;Aeromonas hydrophila subsp. hydrophila ATCC 7966;negative;facultative
1208104;Aeromonas;Aeromonas media;WS;Aeromonas media WS;negative;
1268236;Aeromonas;Aeromonas molluscorum;848;Aeromonas molluscorum 848;negative;facultative
1233098;Aeromonas;Aeromonas salmonicida;achromogenes AS03;Aeromonas salmonicida subsp. achromogenes AS03;negative;
1324960;Aeromonas;Aeromonas salmonicida;pectinolytica 34mel;Aeromonas salmonicida subsp. pectinolytica 34mel;negative;facultative
382245;Aeromonas;Aeromonas salmonicida;salmonicida A449;Aeromonas salmonicida subsp. salmonicida A449;negative;facultative
1073382;Aeromonas;Aeromonas veronii;AER39;Aeromonas veronii AER39;positive;
1073384;Aeromonas;Aeromonas veronii;AER397;Aeromonas veronii AER397;positive;
1073383;Aeromonas;Aeromonas veronii;AMC34;Aeromonas veronii AMC34;positive;
1073385;Aeromonas;Aeromonas veronii;AMC35;Aeromonas veronii AMC35;positive;
1347420;Aeromonas;Aeromonas veronii;Hm21;Aeromonas veronii Hm21;negative;facultative
1120953;Aeromonas;Aestuariibacter salexigens;DSM 15300;Aestuariibacter salexigens DSM 15300;negative;aerobic
1120954;Aestuariibacter;Aestuariimicrobium kwangyangense;DSM 21549;Aestuariimicrobium kwangyangense DSM 21549;positive;
1197906;Aestuariimicrobium;Afipia birgiae;34632;Afipia birgiae 34632;;aerobic
883078;Afipia;Afipia broomeae;ATCC 49717;Afipia broomeae ATCC 49717;positive;
883079;Afipia;Afipia clevelandensis;ATCC 49720;Afipia clevelandensis ATCC 49720;positive;
883080;Afipia;Afipia felis;ATCC 53690;Afipia felis ATCC 53690;positive;
666684;Afipia;Afipia sp.;1NLS2;Afipia sp. 1NLS2;negative;
754507;Afipia;Aggregatibacter actinomycetemcomitans;ANH9381;Aggregatibacter actinomycetemcomitans ANH9381;negative;facultative
694569;Aggregatibacter;Aggregatibacter actinomycetemcomitans;D7S-1;Aggregatibacter actinomycetemcomitans D7S-1;negative;
1120957;Aggregatibacter;Aggregatibacter actinomycetemcomitans;DSM 8324;Aggregatibacter actinomycetemcomitans DSM 8324;negative;facultative
1089447;Aggregatibacter;Aggregatibacter actinomycetemcomitans;RhAA1;Aggregatibacter actinomycetemcomitans RhAA1;negative;
1167007;Aggregatibacter;Aggregatibacter actinomycetemcomitans;serotype a A160;Aggregatibacter actinomycetemcomitans serotype a str. A160;negative;facultative
1167008;Aggregatibacter;Aggregatibacter actinomycetemcomitans;serotype b S23A;Aggregatibacter actinomycetemcomitans serotype b str. S23A;negative;facultative
1167009;Aggregatibacter;Aggregatibacter actinomycetemcomitans;serotype b SCC4092;Aggregatibacter actinomycetemcomitans serotype b str. SCC4092;negative;facultative
1167010;Aggregatibacter;Aggregatibacter actinomycetemcomitans;serotype c AAS4A;Aggregatibacter actinomycetemcomitans serotype c str. AAS4A;negative;facultative
634176;Aggregatibacter;Aggregatibacter aphrophilus;NJ8700;Aggregatibacter aphrophilus NJ8700;negative;facultative
1156935;Aggregatibacter;Agrobacterium albertimagni;AOL15;Agrobacterium albertimagni AOL15;negative;aerobic
311403;Agrobacterium;Agrobacterium radiobacter;K84;Agrobacterium radiobacter K84;negative;aerobic
1150775;Agrobacterium;Agrobacterium sp.;10MFCol1.1;Agrobacterium sp. 10MFCol1.1;negative;
1167635;Agrobacterium;Agrobacterium sp.;224MFTsu3.1;Agrobacterium sp. 224MFTsu3.1;negative;
861208;Agrobacterium;Agrobacterium sp.;H13-3;Agrobacterium sp. H13-3;;
176299;Agrobacterium;Agrobacterium tumefaciens;C58;Agrobacterium tumefaciens str. C58;negative;aerobic
311402;Agrobacterium;Agrobacterium vitis;S4;Agrobacterium vitis S4;negative;aerobic
1120958;Agrobacterium;Agrococcus lahaulensis;DSM 17612;Agrococcus lahaulensis DSM 17612;positive;aerobic
1330458;Agrococcus;Agrococcus pavilionensis;RW1;Agrococcus pavilionensis RW1;positive;aerobic
1120959;Agrococcus;Agromyces italicus;DSM 16388;Agromyces italicus DSM 16388;positive;aerobic
1120960;Agromyces;Agromyces subbeticus;DSM 16689;Agromyces subbeticus DSM 16689;positive;aerobic
1120961;Agromyces;Ahrensia kielensis;DSM 5890;Ahrensia kielensis DSM 5890;negative;
744979;Ahrensia;Ahrensia sp.;R2A130;Ahrensia sp. R2A130;negative;aerobic
349741;Ahrensia;Akkermansia muciniphila;ATCC BAA-835;Akkermansia muciniphila ATCC BAA-835;negative;anaerobic
1156918;Akkermansia;Alcaligenes faecalis;faecalis NCIB 8687;Alcaligenes faecalis subsp. faecalis NCIB 8687;negative;aerobic
1120962;Alcaligenes;Alcaligenes faecalis;phenolicus DSM 16503;Alcaligenes faecalis subsp. phenolicus DSM 16503;negative;facultative
1386079;Alcaligenes;Alcaligenes sp.;EGD-AK7;Alcaligenes sp. EGD-AK7;negative;
393595;Alcaligenes;Alcanivorax borkumensis;SK2;Alcanivorax borkumensis SK2;negative;aerobic
1177179;Alcanivorax;Alcanivorax hongdengensis;A-11-3;Alcanivorax hongdengensis A-11-3;negative;aerobic
236097;Alcanivorax;Alcanivorax sp.;DG881;Alcanivorax sp. DG881;negative;aerobic
1120963;Alcanivorax;Algicola sagamiensis;DSM 14643;Algicola sagamiensis DSM 14643;negative;aerobic
1120965;Algicola;Algoriphagus mannitolivorans;DSM 15301;Algoriphagus mannitolivorans DSM 15301;negative;aerobic
1120966;Algoriphagus;Algoriphagus marincola;DSM 16067;Algoriphagus marincola DSM 16067;negative;aerobic
1305737;Algoriphagus;Algoriphagus marincola;HL-49;Algoriphagus marincola HL-49;negative;
1120967;Algoriphagus;Algoriphagus terrigena;DSM 22685;Algoriphagus terrigena DSM 22685;negative;
1120968;Algoriphagus;Algoriphagus vanfongensis;DSM 17529;Algoriphagus vanfongensis DSM 17529;negative;aerobic
1120969;Algoriphagus;Aliagarivorans marinus;DSM 23064;Aliagarivorans marinus DSM 23064;negative;
1120970;Aliagarivorans;Aliagarivorans taiwanensis;DSM 22990;Aliagarivorans taiwanensis DSM 22990;negative;facultative
596153;Aliagarivorans;Alicycliphilus denitrificans;BC;Alicycliphilus denitrificans BC;negative;facultative
543302;Alicycliphilus;Alicyclobacillus acidocaldarius;LAA1;Alicyclobacillus acidocaldarius LAA1;positive;aerobic
521098;Alicyclobacillus;Alicyclobacillus acidocaldarius;acidocaldarius DSM 446;Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446;positive;aerobic
1048834;Alicyclobacillus;Alicyclobacillus acidocaldarius;acidocaldarius Tc-4-1;Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1;;
1356854;Alicyclobacillus;Alicyclobacillus acidoterrestris;ATCC 49025;Alicyclobacillus acidoterrestris ATCC 49025;positive;aerobic
1120971;Alicyclobacillus;Alicyclobacillus contaminans;DSM 17975;Alicyclobacillus contaminans DSM 17975;positive;aerobic
1120972;Alicyclobacillus;Alicyclobacillus herbarius;DSM 13609;Alicyclobacillus herbarius DSM 13609;positive;aerobic
1200346;Alicyclobacillus;Alicyclobacillus hesperidum;URH17-3-68;Alicyclobacillus hesperidum URH17-3-68;positive;aerobic
1120973;Alicyclobacillus;Alicyclobacillus pohliae;DSM 22757;Alicyclobacillus pohliae DSM 22757;positive;
