faprotax_genus;faprotax_species;faprotax_strain;faprotax_speciesStrain;faprotax_metabolism;faprotax_ref
Acidianus;Acidianus sulfidivorans;;Acidianus sulfidivorans ;dark_sulfide_oxidation|dark_sulfur_oxidation|iron_respiration|dark_oxidation_of_sulfur_compounds|dark_oxidation_of_sulfur_compounds;DOI:10.1099/ijs.0.64846-0| DOI:10.1099/ijs.0.64846-0| DOI:10.1099/ijs.0.64846-0
Acidicaldus;Acidicaldus organivorus;;Acidicaldus organivorus ;methanol_oxidation|dark_sulfur_oxidation|aerobic_chemoheterotrophy|iron_respiration|methylotrophy|dark_oxidation_of_sulfur_compounds|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1007/s00203-006-0087-7| DOI:10.1007/s00203-006-0087-7| DOI:10.1007/s00203-006-0087-7| DOI:10.1007/s00203-006-0087-7
Acidiferrobacter;Acidiferrobacter thiooxydans;;Acidiferrobacter thiooxydans ;dark_iron_oxidation;DOI:10.1099/mic.0.045344-0
Acidimethylosilex;Acidimethylosilex fumarolicum;;Acidimethylosilex fumarolicum ;methanotrophy|methylotrophy|hydrocarbon_degradation|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1038/nature06222
Acidimicrobium;Acidimicrobium ferrooxidans;;Acidimicrobium ferrooxidans ;dark_iron_oxidation;DOI:10.1146/annurev.micro.112408.134208
Acidiphilium;Acidiphilium acidophilum;;Acidiphilium acidophilum ;dark_sulfur_oxidation|dark_thiosulfate_oxidation|dark_oxidation_of_sulfur_compounds|aerobic_anoxygenic_phototrophy|dark_oxidation_of_sulfur_compounds|dark_oxidation_of_sulfur_compounds|photoheterotrophy|phototrophy|phototrophy;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| DOI:10.1007/978-1-4020-8815-5_3
Acidiphilium;Acidiphilium angustum;;Acidiphilium angustum ;aerobic_anoxygenic_phototrophy|aerobic_anoxygenic_phototrophy|photoheterotrophy|photoheterotrophy|phototrophy|phototrophy|phototrophy|phototrophy;Anoxygenic Photosynthetic Bacteria (1995). Eds: Robert E. Blankenship Michael T. Madigan Carl E. Bauer| DOI:10.1007/978-1-4020-8815-5_3
Acidiphilium;Acidiphilium cryptum;;Acidiphilium cryptum ;iron_respiration|aerobic_anoxygenic_phototrophy|photoheterotrophy|phototrophy|phototrophy;DOI:10.1007/s10534-010-9360-y| Anoxygenic Photosynthetic Bacteria (1995). Eds: Robert E. Blankenship Michael T. Madigan Carl E. Bauer
Acidiphilium;Acidiphilium cryptum;JF-5;Acidiphilium cryptum JF-5;iron_respiration;DOI:10.2138/rmg.2005.59.5
Acidiphilium;Acidiphilium crypum;;Acidiphilium crypum ;aerobic_anoxygenic_phototrophy|photoheterotrophy|phototrophy|phototrophy;DOI:10.1007/978-1-4020-8815-5_3
Acidiphilium;Acidiphilium multivorum;;Acidiphilium multivorum ;arsenate_detoxification|nitrate_reduction |aerobic_anoxygenic_phototrophy|ureolysis|dissimilatory_arsenate_reduction|photoheterotrophy|phototrophy|phototrophy;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C| DOI:10.1007/978-1-4020-8815-5_3| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Acidiphilium;Acidiphilium organovorum;;Acidiphilium organovorum ;aerobic_anoxygenic_phototrophy|ureolysis|photoheterotrophy|phototrophy|phototrophy;DOI:10.1007/978-1-4020-8815-5_3| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Acidiphilium;Acidiphilium rubrum;;Acidiphilium rubrum ;aerobic_anoxygenic_phototrophy|aerobic_anoxygenic_phototrophy|photoheterotrophy|photoheterotrophy|phototrophy|phototrophy|phototrophy|phototrophy;Anoxygenic Photosynthetic Bacteria (1995). Eds: Robert E. Blankenship Michael T. Madigan Carl E. Bauer| DOI:10.1007/978-1-4020-8815-5_3
Acidiplasma;Acidiplasma aeolicum;;Acidiplasma aeolicum ;dark_iron_oxidation;DOI:10.1146/annurev.micro.112408.134208
Acidisoma;Acidisoma sibiricum;;Acidisoma sibiricum ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.009209-0
Acidisphaera;Acidisphaera rubrifaciens;;Acidisphaera rubrifaciens ;aerobic_anoxygenic_phototrophy|photoheterotrophy|phototrophy|phototrophy;DOI:10.1007/978-1-4020-8815-5_3
Aciditerrimonas;Aciditerrimonas ferrireducens;;Aciditerrimonas ferrireducens ;aerobic_chemoheterotrophy|iron_respiration|chemoheterotrophy;DOI:10.1099/ijs.0.023044-0| DOI:10.1099/ijs.0.023044-0
Acidithiobacillus;Acidithiobacillus ferrivorans;;Acidithiobacillus ferrivorans ;dark_iron_oxidation;DOI:10.1099/mic.0.045344-0
Acidithiobacillus;Acidithiobacillus ferrooxidans;;Acidithiobacillus ferrooxidans ;dark_sulfur_oxidation|dark_iron_oxidation|dark_oxidation_of_sulfur_compounds;DOI:10.1042/BJ20040003| DOI:10.1146/annurev.micro.112408.134208
Acidithiobacillus;Acidithiobacillus thiooxidans;;Acidithiobacillus thiooxidans ;dark_sulfur_oxidation|dark_sulfur_oxidation|dark_thiosulfate_oxidation|dark_thiosulfate_oxidation|dark_oxidation_of_sulfur_compounds|dark_oxidation_of_sulfur_compounds|dark_oxidation_of_sulfur_compounds|dark_oxidation_of_sulfur_compounds;DOI:10.1042/BJ20040003  and  Kelly and Wood (2000). Reclassification of some species of Thiobacillus to the newly designated genera Acidithiobacillus gen. nov. Halothiobacillus gen. nov. and Thermithiobacillus gen. nov.| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| DOI:10.1042/BJ20040003  and  Kelly and Wood (2000). Reclassification of some species of Thiobacillus to the newly designated genera Acidithiobacillus gen. nov. Halothiobacillus gen. nov. and Thermithiobacillus gen. nov.| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Acidithiomicrobium;Acidithiomicrobium sp.;P1;Acidithiomicrobium sp. P1;dark_sulfur_oxidation|dark_iron_oxidation|dark_oxidation_of_sulfur_compounds;DOI:10.4028/www.scientific.net/AMR.71-73.271  and  Rosenberg DeLong Lory Stackebrandt Thompson (2014) - The Prokaryotes - Actinobacteria| DOI:10.4028/www.scientific.net/AMR.71-73.271  and  Rosenberg DeLong Lory Stackebrandt Thompson (2014) - The Prokaryotes - Actinobacteria
Acidithiomicrobium;Acidithiomicrobium sp.;P2;Acidithiomicrobium sp. P2;dark_sulfur_oxidation|dark_iron_oxidation|dark_oxidation_of_sulfur_compounds;DOI:10.4028/www.scientific.net/AMR.71-73.271  and  Rosenberg DeLong Lory Stackebrandt Thompson (2014) - The Prokaryotes - Actinobacteria| DOI:10.4028/www.scientific.net/AMR.71-73.271  and  Rosenberg DeLong Lory Stackebrandt Thompson (2014) - The Prokaryotes - Actinobacteria
Acidobacterium;Acidobacterium capsulatum;;Acidobacterium capsulatum ;xylanolysis|chemoheterotrophy;Garrity Brenner Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology vol. 4
Acidothermus;Acidothermus cellulolyticus;;Acidothermus cellulolyticus ;cellulolysis|chemoheterotrophy;DOI:10.1128/MMBR.66.3.506–577.2002
Acidovorax;Acidovorax anthurii;;Acidovorax anthurii ;cellulolysis|chemoheterotrophy;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C
Acidovorax;Acidovorax anthurii;;Acidovorax anthurii ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 4104
Acidovorax;Acidovorax avenae;;Acidovorax avenae ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 359
Acidovorax;Acidovorax delafieldii;;Acidovorax delafieldii ;nitrate_denitrification|knallgas_bacteria|dark_hydrogen_oxidation|aerobic_chemoheterotrophy|nitrite_denitrification|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|dark_hydrogen_oxidation|nitrite_respiration|nitrate_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|chemoheterotrophy|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C| Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Acidovorax;Acidovorax ebreus;;Acidovorax ebreus ;dark_iron_oxidation;DOI:10.1099/mic.0.045344-0
Acidovorax;Acidovorax facilis;;Acidovorax facilis ;dark_hydrogen_oxidation;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Acidovorax;Acidovorax konjaci;;Acidovorax konjaci ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 3697
Acidovorax;Acidovorax temperans;;Acidovorax temperans ;nitrate_denitrification|aerobic_chemoheterotrophy|nitrite_denitrification|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|chemoheterotrophy|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Acidovorax;Acidovorax valerianellae;;Acidovorax valerianellae ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 4279
Acinetobacter;Acinetobacter baumannii;;Acinetobacter baumannii ;human_pathogens_pneumonia|human_pathogens_nosocomia|human_pathogens_all|human_pathogens_all|human_pathogens_all|human_pathogens_all|human_associated|human_associated|human_associated|human_associated|animal_parasites_or_symbionts|animal_parasites_or_symbionts|animal_parasites_or_symbionts|animal_parasites_or_symbionts|human_associated|human_associated|animal_parasites_or_symbionts|animal_parasites_or_symbionts;Pathosystems Resource Integration Centre (PATRIC). Genome ID: 886889.3 NCBI Taxon ID: 886889 Disease: Nosocomial infections Pneumonia| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 886889.3 NCBI Taxon ID: 886889 Disease: Nosocomial infections Pneumonia| Lemuel et al. (2010) - Multidrug resistant Acinetobacter baumannii: a descriptive study in a city hospital| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 886889.3 NCBI Taxon ID: 886889 Disease: Nosocomial infections Pneumonia
Acinetobacter;Acinetobacter baumannii;;Acinetobacter baumannii ;human_pathogens_septicemia|human_pathogens_all|human_associated|animal_parasites_or_symbionts|human_associated|animal_parasites_or_symbionts;Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1279013.3 NCBI Taxon ID: 1279013 Disease: Septicemia
Acinetobacter;Acinetobacter calcoaceticus;;Acinetobacter calcoaceticus ;human_pathogens_nosocomia|human_pathogens_all|human_pathogens_all|human_associated|human_associated|animal_parasites_or_symbionts|animal_parasites_or_symbionts|human_associated|animal_parasites_or_symbionts;Pathosystems Resource Integration Centre (PATRIC). Genome ID: 575585.3 NCBI Taxon ID: 575585 Disease: Nosocomial infections| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 575585.3 NCBI Taxon ID: 575585 Disease: Nosocomial infections
Acinetobacter;Acinetobacter calcoaceticus;RJE74;Acinetobacter calcoaceticus RJE74;aromatic_hydrocarbon_degradation|aromatic_compound_degradation|hydrocarbon_degradation|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1111/j.1365-2958.1987.tb00515.x
Acinetobacter;Acinetobacter junii;;Acinetobacter junii ;human_pathogens_nosocomia|human_pathogens_all|human_pathogens_all|human_associated|human_associated|animal_parasites_or_symbionts|animal_parasites_or_symbionts|human_associated|animal_parasites_or_symbionts;Pathosystems Resource Integration Centre (PATRIC). Genome ID: 575587.3 NCBI Taxon ID: 575587 Disease: Nosocomial infections| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 575587.3 NCBI Taxon ID: 575587 Disease: Nosocomial infections
Acinetobacter;Acinetobacter lwoffii;;Acinetobacter lwoffii ;manganese_oxidation|human_pathogens_pneumonia|human_pathogens_nosocomia|human_pathogens_all|plastic_degradation|human_pathogens_all|human_pathogens_all|human_associated|human_associated|human_associated|animal_parasites_or_symbionts|animal_parasites_or_symbionts|animal_parasites_or_symbionts|human_associated|human_associated|animal_parasites_or_symbionts|animal_parasites_or_symbionts;DOI:10.1016/j.soilbio.2007.01.004| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1046625.3 NCBI Taxon ID: 1046625 Disease: Nosocomial infections Pneumonia| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 575588.3 NCBI Taxon ID: 575588 Disease: Nosocomial infections| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 575588.3 NCBI Taxon ID: 575588 Disease: Nosocomial infections| DOI:10.1007/s00253-008-1548-5
Acinetobacter;Acinetobacter nosocomialis;;Acinetobacter nosocomialis ;human_pathogens_all|human_associated|animal_parasites_or_symbionts;DOI:10.1002/iub.534
Acinetobacter;Acinetobacter pittii;;Acinetobacter pittii ;human_pathogens_all|human_associated|animal_parasites_or_symbionts;DOI:10.1002/iub.534
Acinetobacter;Acinetobacter radioresistens;;Acinetobacter radioresistens ;aerobic_chemoheterotrophy|human_pathogens_nosocomia|human_pathogens_all|nitrate_reduction |human_pathogens_all|human_associated|human_associated|animal_parasites_or_symbionts|animal_parasites_or_symbionts|chemoheterotrophy|human_associated|animal_parasites_or_symbionts;Nishimura et al. (1988) - Acinetobacter radioresistens sp. nov. Isolated from Cotton and Soil| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 575589.3 NCBI Taxon ID: 575589 Disease: Nosocomial infections| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 575589.3 NCBI Taxon ID: 575589 Disease: Nosocomial infections| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2B
Acinetobacter;Acinetobacter sp.;ADP1;Acinetobacter sp. ADP1;aromatic_compound_degradation|chemoheterotrophy;DOI:10.1093/nar/gkh910
Acrocarpospora;Acrocarpospora pleiomorpha;;Acrocarpospora pleiomorpha ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Actinoallomurus;Actinoallomurus liliacearum;;Actinoallomurus liliacearum ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1038/ja.2012.31
Actinoallomurus;Actinoallomurus oryzae;;Actinoallomurus oryzae ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.022509-0
Actinoallomurus;Actinoallomurus vinaceus;;Actinoallomurus vinaceus ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1038/ja.2012.31
Actinobacillus;Actinobacillus actinomycetem;;Actinobacillus actinomycetem ;fumarate_respiration;DOI:10.1099/00207713-28-1-7
Actinobacillus;Actinobacillus actinomycetemcomitans;;Actinobacillus actinomycetemcomitans ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C
Actinobacillus;Actinobacillus equuli;;Actinobacillus equuli ;animal_parasites_or_symbionts;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Actinobacillus;Actinobacillus lignieresii;;Actinobacillus lignieresii ;fumarate_respiration;DOI:10.1099/00207713-28-1-7
Actinobacillus;Actinobacillus scotiae;;Actinobacillus scotiae ;ureolysis;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 2
Actinobacillus;Actinobacillus seminis;;Actinobacillus seminis ;fumarate_respiration;DOI:10.1099/00207713-28-1-7
Actinobacillus;Actinobacillus suis;;Actinobacillus suis ;fumarate_respiration;DOI:10.1099/00207713-28-1-7
Actinobaculum;Actinobaculum schaalii;;Actinobaculum schaalii ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Actinobaculum;Actinobaculum suis;;Actinobaculum suis ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Actinocatenispora;Actinocatenispora sera;;Actinocatenispora sera ;aerobic_chemoheterotrophy|nitrate_reduction |chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Actinocatenispora;Actinocatenispora thailandica;;Actinocatenispora thailandica ;aerobic_chemoheterotrophy|nitrate_reduction |chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Actinocorallia;Actinocorallia aurea;;Actinocorallia aurea ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Actinocorallia;Actinocorallia cavernae;;Actinocorallia cavernae ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Actinocorallia;Actinocorallia libanotica;;Actinocorallia libanotica ;xylanolysis|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Actinomadura;Actinomadura atramentaria;;Actinomadura atramentaria ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Actinomadura;Actinomadura glauciflava;;Actinomadura glauciflava ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Actinomadura;Actinomadura pelletieri;;Actinomadura pelletieri ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Actinomadura;Actinomadura rudentiformis;;Actinomadura rudentiformis ;xylanolysis|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Actinomadura;Actinomadura viridilutea;;Actinomadura viridilutea ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Actinomyces;Actinomyces hominis;;Actinomyces hominis ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Actinomyces;Actinomyces houstonensis;;Actinomyces houstonensis ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Actinomyces;Actinomyces kurssanovii;;Actinomyces kurssanovii ;chitinolysis|chemoheterotrophy;Tiunova et al. (1976) - Production of chitinase by Actinomyces kurssanovii and its properties
Actinomyces;Actinomyces odontolyticus;;Actinomyces odontolyticus ;human_pathogens_septicemia|human_pathogens_all|human_pathogens_all|human_associated|human_associated|animal_parasites_or_symbionts|animal_parasites_or_symbionts|human_associated|animal_parasites_or_symbionts;Pathosystems Resource Integration Centre (PATRIC). Genome ID: 411466.7 NCBI Taxon ID: 411466 Disease: Oral abscesses Septicemia Conjunctivitis Respiratory tract infections| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 411466.7 NCBI Taxon ID: 411466 Disease: Oral abscesses Septicemia Conjunctivitis Respiratory tract infections
Actinoplanes;Actinoplanes couchii;;Actinoplanes couchii ;xylanolysis|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Actinoplanes;Actinoplanes sichuanensis;;Actinoplanes sichuanensis ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Actinoplanes;Actinoplanes xinjiangensis;;Actinoplanes xinjiangensis ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Actinopolymorpha;Actinopolymorpha cephalotaxi;;Actinopolymorpha cephalotaxi ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Actinopolymorpha;Actinopolymorpha pittospori;;Actinopolymorpha pittospori ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.029579-0
Actinopolymorpha;Actinopolymorpha singaporensis;;Actinopolymorpha singaporensis ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Actinopolyspora;Actinopolyspora mortivallis;;Actinopolyspora mortivallis ;xylanolysis|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Actinosynnema;Actinosynnema mirum;;Actinosynnema mirum ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Actinosynnema;Actinosynnema pretiosum;;Actinosynnema pretiosum ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
