ijsem_genus;ijsem_species;ijsem_strain;ijsem_speciesStrain;ijsem_source;ijsem_gram;ijsem_oxygen;ijsem_assays;ijsem_substrate;ijsem_ref
Acidocella;Acidocella aluminiidurans;AL46;Acidocella aluminiidurans AL46;other;negative;aerobic;gelatinase;arabitol|dextrin|glycogen|sorbitol|succinicAcid|alanine|dextrin|glutamicAcid|glycogen|urocanicAcid;10.1099/ijs.0.011569-0
Acidovorax;Acidovorax caeni;R-24608;Acidovorax caeni R-24608;other;negative;facultative;catalasePositive|oxidasePositive;alanine|alpha-ketovalericAcid|aspartate|formicAcid|glutamicAcid|glycerol|glycogen|lactate|leucine|malate|methylPyruvate|proline|serine|threonine;10.1099/ijs.0.65387-0
Acidovorax;Acidovorax soli;BL21;Acidovorax soli BL21;soil;negative;anaerobic;nitrateReductionToNitrite;alanine|asparagine|aspartate|formicAcid|glucose|glutamicAcid|lactate|pyruvicAcidMethylEster|serine|threonine|Tween40|Tween80;10.1099/ijs.0.019661-0
Acidovorax;Acidovorax wautersii;NF 1078;Acidovorax wautersii NF 1078;other;negative;aerobic;catalasePositive|oxidasePositive|ureasePositive;arabinose|galactose|glucose|lactose|mannitol|rhamnose|xylose;10.1099/ijs.0.046102-0
Acinetobacter;Acinetobacter beijerinckii;NIPH838T;Acinetobacter beijerinckii NIPH838T;human - mouth;negative;aerobic;catalasePositive;acetate|aspartate|citrate|ethanol|gelatin|histidine|malate;10.1099/ijs.0.001230-0
Acinetobacter;Acinetobacter bereziniae;LMG 1003;Acinetobacter bereziniae LMG 1003;other;negative;aerobic;catalasePositive;2,3-butanediol|acetate|alanine|aspartate|citrate|ethanol|glutamicAcid|lactate;10.1099/ijs.0.013656-0
Acinetobacter;Acinetobacter boissieri;SAP 284.1;Acinetobacter boissieri SAP 284.1;plant associated;negative;aerobic;catalasePositive;asparagine|aspartate|fructose|gluconicAcid|glutamicAcid|malate|mannose|proline|sucrose;10.1099/ijs.0.043489-0
Acinetobacter;Acinetobacter guillouiae;LMG 988;Acinetobacter guillouiae LMG 988;other;negative;aerobic;catalasePositive;2,3-butanediol|acetate|adipate|aspartate|citrate|ethanol|glutamicAcid|lactate;10.1099/ijs.0.013656-0
Acinetobacter;Acinetobacter gyllenbergii;NIPH2150T;Acinetobacter gyllenbergii NIPH2150T;human - mouth;negative;aerobic;catalasePositive;4-hydroxbenzoate|acetate|adipate|alanine|arginine|citrate|ethanol|gelatin|histidine|lactate|leucine|malate|ornithine|phenylacetate|phenylalanine;10.1099/ijs.0.001230-0
Acinetobacter;Acinetobacter indicus;A648;Acinetobacter indicus A648;other;negative;aerobic;nitrateReductionToNitrite;acetate|ethanol;10.1099/ijs.0.037721-0
Acinetobacter;Acinetobacter kookii;11-0202;Acinetobacter kookii 11-0202;soil;negative;aerobic;catalasePositive;2,3-butanediol|ethanol|lactate;10.1099/ijs.0.047969-0
Acinetobacter;Acinetobacter nectaris;SAP 763.2;Acinetobacter nectaris SAP 763.2;plant associated;negative;aerobic;catalasePositive;asparagine|aspartate|fructose|glutamicAcid|malate|mannose|proline|sucrose;10.1099/ijs.0.043489-0
Acinetobacter;Acinetobacter puyangensis;BQ4-1;Acinetobacter puyangensis BQ4-1;plant associated;negative;aerobic;catalasePositive;acetate|citrate|ethanol|glutamicAcid|lactate|phenylacetate|phenylalanine;10.1099/ijs.0.047274-0
Acinetobacter;Acinetobacter venetianus;RAG-1T ;Acinetobacter venetianus RAG-1T;seawater;negative;aerobic;;acetate|arginine|citrate|ethanol|histidine|leucine|malate;10.1099/ijs.0.003541-0
Acrocarpospora;Acrocarpospora phusangensis;PS33-18;Acrocarpospora phusangensis PS33-18;soil;positive;;;arabinose|cellobiose|fructose|galactose|glucose|lactose|maltose|mannitol|melibiose|raffinose|rhamnose|sucrose;10.1099/ijs.0.046227-0
Actibacter;Actibacter sediminis;JC2129;Actibacter sediminis JC2129;marine sediment;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|catalasePositive|gelatinase|oxidasePositive;acetate|citrate|glutamicAcid|pyruvate|sucrose;10.1099/ijs.0.65346-0
Actibacterium;Actibacterium mucosum;R46;Actibacterium mucosum R46;seawater;;aerobic;alkalinePhosphatase|catalasePositive|oxidasePositive;3-hydroxybutyrate|acetate|cellobiose|citrate|fructose|galactose|glucose|glycerol|lactate|malate|mannose|myo-inositol|pyruvate|ribose|xylose;10.1099/ijs.0.038026-0
Actinaurispora;Actinaurispora siamensis;CM2-8;Actinaurispora siamensis CM2-8;other|soil;positive;aerobic;gelatinase;cellobiose|fructose|galactose|glucose|lactose|melibiose|rhamnose|xylose;10.1099/ijs.0.013763-0
Actinoallomurus;Actinoallomurus acaciae;GMKU 931;Actinoallomurus acaciae GMKU 931;plant associated|other;positive;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|ureasePositive|catalasePositive|ureasePositive;mannose|rhamnose|trehalose;10.1099/ijs.0.012237-0
Actinoallomurus;Actinoallomurus acanthiterrae;2614A723;Actinoallomurus acanthiterrae 2614A723;soil;positive;aerobic;aesculinHydrolysis|catalasePositive;cellobiose|citrate|dextrin|galactose|glycerol|lactose|mannitol|mannose|melibiose|raffinose|sorbitol|sucrose|trehalose|xylose;10.1099/ijs.0.043380-0
Actinoallomurus;Actinoallomurus amamiensis; TT00-28T;Actinoallomurus amamiensis TT00-28T;soil;;aerobic;acidPhosphatase|aesculinHydrolysis|catalasePositive|gelatinase|pyrazimidase;adonitol|arabinose|arabitol|cellobiose|fructose|fucose|galactose|glucosamine|glucose|glycerol|glycogen|lactose|leucine|maltose|mannitol|mannose|melibiose|myo-inositol|N-acetylgulcosamine|raffinose|rhamnose|ribose|salicin|sorbitol|sucrose|trehalose|xylitol|xylose;10.1099/ijs.0.006858-0
Actinoallomurus;Actinoallomurus caesius;A3015T;Actinoallomurus caesius A3015T;soil;;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|catalasePositive|gelatinase;adonitol|citrate|fructose|galactose|glucosamine|glucose|glycerol|leucine|maltose|mannitol|mannose|raffinose|rhamnose|ribose|trehalose;10.1099/ijs.0.006858-0
Actinoallomurus;Actinoallomurus coprocola;TT04-09T;Actinoallomurus coprocola TT04-09T;other;;aerobic;acidPhosphatase|aesculinHydrolysis|alphaGalactosidase|catalasePositive|gelatinase|pyrazimidase|ureasePositive;arabinose|arabitol|cellobiose|fructose|galactose|glucosamine|glucose|glycogen|lactose|leucine|maltose|mannitol|melibiose|myo-inositol|N-acetylgulcosamine|raffinose|rhamnose|ribose|salicin|sorbitol|sucrose|trehalose|xylose;10.1099/ijs.0.006858-0
Actinoallomurus;Actinoallomurus fulvus;TT99-66T;Actinoallomurus fulvus TT99-66T;soil;;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|catalasePositive|gelatinase|pyrazimidase;adonitol|arabinose|arabitol|cellobiose|fructose|fucose|galactose|glucosamine|glucose|glycerol|glycogen|lactose|leucine|maltose|mannose|melibiose|myo-inositol|N-acetylgulcosamine|raffinose|rhamnose|ribose|salicin|sorbitol|sucrose|trehalose|xylitol|xylose;10.1099/ijs.0.006858-0
Actinoallomurus;Actinoallomurus iriomotensis;TT02-47T;Actinoallomurus iriomotensis TT02-47T;soil;;aerobic;aesculinHydrolysis|alkalinePhosphatase|catalasePositive|gelatinase|nitrateReductionToNitrite|pyrazimidase;adonitol|arabinose|arabitol|cellobiose|fructose|fucose|galactose|glucosamine|glucose|glycerol|glycogen|lactose|leucine|maltose|mannitol|melibiose|myo-inositol|N-acetylgulcosamine|raffinose|rhamnose|ribose|salicin|sorbitol|sucrose|xylitol|xylose;10.1099/ijs.0.006858-0
Actinoallomurus;Actinoallomurus luridus;TT02-15T;Actinoallomurus luridus TT02-15T;soil;;aerobic;aesculinHydrolysis|alkalinePhosphatase|gelatinase|pyrazimidase;cellobiose|glycerol|glycogen|lactose|leucine|maltose|melibiose|rhamnose|ribose|salicin|sucrose;10.1099/ijs.0.006858-0
Actinoallomurus;Actinoallomurus oryzae;GMKU370T;Actinoallomurus oryzae GMKU370T;plant endophyte;positive;aerobic;catalasePositive|oxidasePositive;galactose|lactose|maltose|mannose|raffinose|rhamnose|sorbitol|sucrose|trehalose|xylose;10.1099/ijs.0.022509-0
Actinoallomurus;Actinoallomurus purpureus;TTN02-30T;Actinoallomurus purpureus TTN02-30T;soil;;aerobic;aesculinHydrolysis|catalasePositive|gelatinase|pyrazimidase;cellobiose|fructose|fucose|galactose|glucosamine|glucose|glycerol|glycogen|lactose|maltose|mannose|N-acetylgulcosamine|salicin|sucrose|trehalose;10.1099/ijs.0.006858-0
Actinoallomurus;Actinoallomurus radicium;K08-0182;Actinoallomurus radicium K08-0182;plant associated;;aerobic;acidPhosphatase|alkalinePhosphatase|gelatinase;glucose|xylose;10.1099/ijs.0.029181-0
Actinoallomurus;Actinoallomurus yoronensis;TTN02-22T;Actinoallomurus yoronensis TTN02-22T;soil;;aerobic;aesculinHydrolysis|alkalinePhosphatase|catalasePositive|gelatinase|pyrazimidase|ureasePositive;arabinose|arabitol|cellobiose|glucose|glycerol|glycogen|lactose|leucine|maltose|mannitol|melibiose|myo-inositol|rhamnose|ribose|salicin|sorbitol|sucrose|xylitol|xylose;10.1099/ijs.0.006858-0
Actinoalloteichus;Actinoalloteichus spitiensis;RMV-1378T;Actinoalloteichus spitiensis RMV-1378T;soil;positive;aerobic;;citrate|galactose|glucose|mannitol|mannose|raffinose|rhamnose|ribose|salicin|sucrose;10.1099/ijs.0.63720-0
Actinobacillus;Actinobacillus anseriformium;F66;Actinobacillus anseriformium F66;other;negative;;alphaGalactosidase|catalasePositive|oxidasePositive;cellobiose|mannose|trehalose;10.1099/ijs.0.028746-0
Actinocatenispora;Actinocatenispora rupis;CS5-AC17T;Actinocatenispora rupis CS5-AC17T;soil;positive;aerobic;aesculinHydrolysis;adonitol|arabinose|cellobiose|citrate|galactose|glycerol|lactose|maltose|mannitol|mannose|rhamnose|sorbitol|sucrose|trehalose|Tween80;10.1099/ijs.0.012922-0
Actinocatenispora;Actinocatenispora sera;KV-744T;Actinocatenispora sera KV-744T;soil;;;nitrateReductionToNitrite;adonitol|rhamnose|xylitol|xylose;10.1099/ijs.0.65270-0
Actinocatenispora;Actinocatenispora thailandica;TT2-10;Actinocatenispora thailandica TT2-10;soil;positive;aerobic;nitrateReductionToNitrite|oxidasePositive;cellobiose|glucose|glycerol|mannitol|melibiose|raffinose|salicin;10.1099/ijs.0.64081-0
Actinocorallia;Actinocorallia cavernae;N3-7;Actinocorallia cavernae N3-7;other;positive;aerobic;aesculinHydrolysis;arabinose|cellobiose|fructose|galactose|glucose|lactose|maltose|mannose|rhamnose|ribose|salicin|sucrose|trehalose;10.1099/ijs.0.63895-0
Actinokineospora;Actinokineospora baliensis;ID03-0561;Actinokineospora baliensis ID03-0561;soil;positive;;aesculinHydrolysis|nitrateReductionToNitrite;glucose|maltose|mannose|sucrose|trehalose;10.1099/ijs.0.013276-0
Actinokineospora;Actinokineospora bangkokensis;44EHW;Actinokineospora bangkokensis 44EHW;soil;positive;aerobic;acidPhosphatase|alkalinePhosphatase|alphaGalactosidase|gelatinase;fructose|glucose|mannitol|sucrose|xylose;10.1099/ijs.0.047928-0
Actinokineospora;Actinokineospora cianjurensis;ID03-0810;Actinokineospora cianjurensis ID03-0810;soil;positive;;aesculinHydrolysis|nitrateReductionToNitrite;fructose|galactose|glucose|maltose|mannose|sucrose|trehalose;10.1099/ijs.0.013276-0
Actinokineospora;Actinokineospora cibodasensis;ID03-0784;Actinokineospora cibodasensis ID03-0784;soil;positive;;aesculinHydrolysis|nitrateReductionToNitrite;fructose|galactose|glucose|maltose|mannose|sucrose|trehalose;10.1099/ijs.0.013276-0
Actinokineospora;Actinokineospora soli;YIM 75948;Actinokineospora soli YIM 75948;soil;positive;aerobic;catalasePositive|gelatinase;cellobiose|galactose|glucose|maltose|mannitol|mannose|sucrose|xylitol;10.1099/ijs.0.035832-0
Actinomadura;Actinomadura alba;YIM 45681T;Actinomadura alba YIM 45681T;soil;positive;aerobic;aesculinHydrolysis|catalasePositive|gelatinase|nitrateReductionToNitrite|ureasePositive;adonitol|arabitol|fructose|gelatin|lactose|ribose|sucrose|trehalose|xylose;10.1099/ijs.0.64864-0
Actinomadura;Actinomadura bangladeshensis;3-46-b(3);Actinomadura bangladeshensis 3-46-b(3);soil;positive;aerobic;;arabinose|cellobiose|fructose|glycerol|mannitol|sucrose|xylose;10.1099/ijs.0.65533-0
Actinomadura;Actinomadura chokoriensis;3-45-a(11);Actinomadura chokoriensis 3-45-a(11);soil;positive;aerobic;;arabinose|cellobiose|fructose|glycerol|mannitol|sucrose|xylose;10.1099/ijs.0.65533-0
Actinomadura;Actinomadura flavalba;YIM 61435T;Actinomadura flavalba YIM 61435T;plant associated;positive;aerobic;aesculinHydrolysis|alkalinePhosphatase|gelatinase;fructose|galactose|gelatin|glucose|inosine|lactose|maltose|rhamnose|ribose|sorbitol|sucrose|trehalose;10.1099/ijs.0.010652-0
Actinomadura;Actinomadura geliboluensis;A8036;Actinomadura geliboluensis A8036;soil;positive;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|nitrateReductionToNitrite;adonitol|arabinose|cellobiose|dextrin|fructose|galactose|lactose|maltose|mannitol|melibiose|myo-inositol|rhamnose|sorbitol|sucrose|xylose;10.1099/ijs.0.036145-0
Actinomadura;Actinomadura hallensis;H647-1;Actinomadura hallensis H647-1;soil;positive;aerobic;catalasePositive|H2Sproduction|nitrateReductionToNitrite;arabinose|cellobiose|fructose|glucose|glycerol|maltose|mannitol|salicin|sucrose|trehalose|xylose;10.1099/ijs.0.63943-0
Actinomadura;Actinomadura keratinilytica;WCC-2265T;Actinomadura keratinilytica WCC-2265T;other;positive;aerobic;acidPhosphatase|alkalinePhosphatase;arabinose|fructose|glucose|rhamnose|sucrose|xylose;10.1099/ijs.0.003640-0
Actinomadura;Actinomadura meridiana;DLS-45;Actinomadura meridiana DLS-45;soil;positive;;aesculinHydrolysis|gelatinase;cellobiose|dextrin|glycerol|rhamnose;10.1099/ijs.0.029546-0
Actinomadura;Actinomadura miaoliensis; BC44T-5T;Actinomadura miaoliensis BC44T-5T;soil;positive;aerobic;aesculinHydrolysis|nitrateReductionToNitrite;fructose|glucose|lactose|rhamnose|sorbitol|trehalose|xylose;10.1099/ijs.0.001479-0
Actinomadura;Actinomadura napierensis;B60T;Actinomadura napierensis B60T;soil;positive;;aesculinHydrolysis|H2Sproduction;adonitol|arabinose|dextrin|fructose|galactose|glucose|glycerol|maltose|mannitol|mannose|raffinose|rhamnose|ribose|sucrose|trehalose|Tween80|urea|xylose;10.1099/ijs.0.63359-0
Actinomadura;Actinomadura rudentiformis; HMC1T;Actinomadura rudentiformis HMC1T;soil;positive;;aesculinHydrolysis|catalasePositive|gelatinase;acetate|adonitol|arabinose|arginine|cellobiose|fructose|galactose|glucose|histidine|lactose|mannitol|mannose|melibiose|myo-inositol|phenylalanine|raffinose|rhamnose|ribose|salicin|serine|sucrose|threonine|trehalose|xylose;10.1099/ijs.0.64438-0
Actinomadura;Actinomadura rupiterrae;CS5-AC15;Actinomadura rupiterrae CS5-AC15;soil;;;aesculinHydrolysis|catalasePositive|gelatinase;citrate|glucose|lactose|mannitol|sucrose;10.1099/ijs.0.035121-0
Actinomadura;Actinomadura scrupuli;R-Ac121;Actinomadura scrupuli R-Ac121;other;positive;aerobic;aesculinHydrolysis|gelatinase|nitrateReductionToNitrite;acetate|adonitol|arabinose|cellobiose|fructose|galactose|glucose|glycerol|lactose|malate|melibiose|rhamnose|sorbitol|sucrose|trehalose|xylose;10.1099/ijs.0.017608-0
Actinomadura;Actinomadura sediminis;YIM M 10931;Actinomadura sediminis YIM M 10931;soil;positive;aerobic;catalasePositive|H2Sproduction|nitrateReductionToNitrite|oxidasePositive|ureasePositive;arabinose|fructose|galactose|mannitol|rhamnose|ribose|xylose;10.1099/ijs.0.032979-0
Actinomadura;Actinomadura sputi;IMMIB L-889;Actinomadura sputi IMMIB L-889;other|human - mouth;positive;aerobic;aesculinHydrolysis|ureasePositive;lactate|lactose|sorbitol|alanine|arginine|cellobiose|lactate|lactose|ornithine|proline|rhamnose|serine|sorbitol;10.1099/ijs.0.012211-0
Actinomadura;Actinomadura xylanilytica;BK147;Actinomadura xylanilytica BK147;soil;positive;aerobic;aesculinHydrolysis|gelatinase;maltose;10.1099/ijs.0.042325-0
Actinomyces;Actinomyces dentalis;R18165T;Actinomyces dentalis R18165T;human - mouth;positive;anaerobic;aesculinHydrolysis|alphaGalactosidase;alanine|arginine|cellobiose|fructose|glucose|glycine|histidine|lactose|leucine|maltose|mannose|melibiose|phenylalanine|proline|raffinose|sucrose|trehalose;10.1099/ijs.0.63376-0
Actinomyces;Actinomyces hominis;1094;Actinomyces hominis 1094;other;positive;facultative;acidPhosphatase|catalasePositive|acidPhosphatase|alkalinePhosphatase|alphaGalactosidase|catalasePositive|nitrateReductionToNitrite|pyrazimidase;adonitol|arabinose|arabitol|fructose|galactose|glucose|glycerol|glycogen|maltose|mannose|raffinose|ribose|sucrose;10.1099/ijs.0.015818-0
Actinomyces;Actinomyces massiliensis; 4401292T;Actinomyces massiliensis 4401292T;other;positive;anaerobic;nitrateReductionToNitrite;fructose|galactose|glucose|lactose|maltose|mannose|ribose|sucrose|trehalose|xylose;10.1099/ijs.0.001503-0
Actinomyces;Actinomyces timonensis;7400942;Actinomyces timonensis 7400942;other;positive;anaerobic;;fructose|galactose|glucose|glycerol|glycogen|maltose|mannitol|mannose|melibiose|raffinose|ribose|salicin|sucrose|trehalose|lactose|N-acetylgulcosamine|arabitol;10.1099/ijs.0.012914-0
Actinomyces;Actinomyces weissii;2298;Actinomyces weissii 2298;other;positive;microaerophilic;aesculinHydrolysis|alkalinePhosphatase|catalasePositive;glucose|glycogen|lactose|maltose|sucrose;10.1099/ijs.0.035626-0
Actinomycetospora;Actinomycetospora chiangmaiensis;YIM 0006;Actinomycetospora chiangmaiensis YIM 0006;soil;positive;aerobic;;asparagine|fructose|glucose|glycerol|glycine|histidine|lactose|rhamnose|ribose|sorbitol|sucrose|xylose;10.1099/ijs.0.64976-0
Actinophytocola;Actinophytocola burenkhanensis;MN08-A0203T;Actinophytocola burenkhanensis MN08-A0203T;soil;positive;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|alphaGalactosidase|gelatinase|pyrazimidase|ureasePositive;arabinose|galactose|gelatin|glucose|lactose|maltose|mannose|rhamnose|ribose|urea|xylose;10.1099/ijs.0.021659-0
Actinophytocola;Actinophytocola oryzae;GMKU 367;Actinophytocola oryzae GMKU 367;other|plant associated;positive;aerobic;catalasePositive|catalasePositive|gelatinase;fructose|glucose|rhamnose;10.1099/ijs.0.008417-0
Actinoplanes;Actinoplanes abujensis;A4029;Actinoplanes abujensis A4029;soil;positive;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|alphaGalactosidase|catalasePositive|gelatinase|nitrateReductionToNitrite;cellobiose|glucose|maltose|mannose;10.1099/ijs.0.031872-0
Actinoplanes;Actinoplanes atraurantiacus;Y16;Actinoplanes atraurantiacus Y16;soil;positive;aerobic;acidPhosphatase|alkalinePhosphatase|gelatinase|nitrateReductionToNitrite|ureasePositive;cellobiose|galactose|glucose|glycogen|lactose|maltose|mannitol|mannose|rhamnose|salicin|sucrose|xylose;10.1099/ijs.0.037226-0
Actinoplanes;Actinoplanes couchii;GW8-1761T;Actinoplanes couchii GW8-1761T;soil;positive;;;aspartate|malate|proline|pyruvate|salicin|serine|sucrose;10.1099/ijs.0.64805-0
Actinoplanes;Actinoplanes siamensis;A-T 6646;Actinoplanes siamensis A-T 6646;soil;positive;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|gelatinase;cellobiose|fructose|galactose|glucose|mannose|xylose;10.1099/ijs.0.048017-0
Actinoplanes;Actinoplanes sichuanensis;03-723T;Actinoplanes sichuanensis 03-723T;soil;positive;aerobic;aesculinHydrolysis|gelatinase|nitrateReductionToNitrite|ureasePositive;acetate|adonitol|arabinose|citrate|fructose|galactose|gluconicAcid|glucosamine|glucose|maltose|ribose|sorbitol|sucrose|xylose;10.1099/ijs.0.010561-0
Actinoplanes;Actinoplanes tereljensis;MN07-A0371;Actinoplanes tereljensis MN07-A0371;soil;positive;aerobic;catalasePositive|nitrateReductionToNitrite|acidPhosphatase|alkalinePhosphatase|catalasePositive|nitrateReductionToNitrite|pyrazimidase|ureasePositive;gelatin|glucose|maltose|sucrose|xylose;10.1099/ijs.0.009944-0
Actinoplanes;Actinoplanes toevensis;MN07-A0368;Actinoplanes toevensis MN07-A0368;soil;positive;aerobic;catalasePositive|acidPhosphatase|alkalinePhosphatase|catalasePositive|gelatinase|pyrazimidase|ureasePositive;arabinose|galactose|glucose|mannose|rhamnose|ribose|xylose;10.1099/ijs.0.009944-0
Actinoplanes;Actinoplanes xinjiangensis;03-8772T;Actinoplanes xinjiangensis 03-8772T;soil;positive;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|gelatinase|H2Sproduction|nitrateReductionToNitrite|ureasePositive;acetate|adonitol|arabinose|citrate|fructose|gluconicAcid|glucosamine|glucose|mannose|ribose|sorbitol|sucrose|xylose;10.1099/ijs.0.010561-0
Actinopolymorpha;Actinopolymorpha alba;YIM 48868T;Actinopolymorpha alba YIM 48868T;soil;positive;aerobic;catalasePositive|gelatinase|oxidasePositive;alanine|arabinose|asparagine|dextrin|fucose|glucose|maltose|mannose|phenylalanine|proline|raffinose|rhamnose|ribose;10.1099/ijs.0.010280-0
Actinopolymorpha;Actinopolymorpha cephalotaxi;106-2230;Actinopolymorpha cephalotaxi 106-2230;soil;positive;;nitrateReductionToNitrite;arabinose|glucosamine|raffinose;10.1099/ijs.0.011197-0
Actinopolymorpha;Actinopolymorpha cephalotaxi;I06- 2230;Actinopolymorpha cephalotaxi I06- 2230;soil;positive;aerobic;acidPhosphatase|alkalinePhosphatase|alphaGalactosidase|gelatinase|nitrateReductionToNitrite|ureasePositive;arabinose|fructose|galactose|glucosamine|glucose|mannitol|myo-inositol|raffinose|rhamnose|sorbitol|sucrose|xylose;10.1099/ijs.0.011197-0
Actinopolymorpha;Actinopolymorpha rutila;YIM 45725;Actinopolymorpha rutila YIM 45725;soil;positive;aerobic;catalasePositive|oxidasePositive;adonitol|cellobiose|galactose|lactose|maltose|mannose|melibiose|raffinose|ribose|salicin|xylitol;10.1099/ijs.0.65629-0
Actinopolyspora;Actinopolyspora lacussalsi;TRM 40139;Actinopolyspora lacussalsi TRM 40139;hypersaline environment;positive;aerobic;catalasePositive|gelatinase;arabinose|fructose|maltose|mannitol|xylose;10.1099/ijs.0.047167-0
Actinopolyspora;Actinopolyspora mzabensis;H55;Actinopolyspora mzabensis H55;soil;positive;aerobic;nitrateReductionToNitrite;adonitol|alanine|arabinose|cellobiose|citrate|fructose|galactose|glucose|glycerol|lactose|maltose|mannose|proline|rhamnose|ribose|sorbitol|sucrose|trehalose|xylose;10.1099/ijs.0.046649-0
Actinospica;Actinospica acidiphila;GE134766;Actinospica acidiphila GE134766;soil;positive;aerobic;catalasePositive|H2Sproduction;arabinose|xylose;10.1099/ijs.0.63859-0
Actinospica;Actinospica robiniae;GE134769;Actinospica robiniae GE134769;soil;positive;aerobic;catalasePositive|H2Sproduction;;10.1099/ijs.0.63859-0
Actinotalea;Actinotalea ferrariae;CF5-4;Actinotalea ferrariae CF5-4;other;positive;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|alphaGalactosidase|catalasePositive|gelatinase|nitrateReductionToNitrite;acetate|arabinose|glucose|glycogen|maltose|ribose|salicin|sucrose|xylose;10.1099/ijs.0.048512-0
