microbedir_genus;microbedir_species;microbedir_strain;microbedir_speciesStrain;microbedir_gram;microbedir_source;microbedir_abSusceptible;microbedir_extremophile;microbedir_pathogenicity
Leptotrichia;Leptotrichia wadei;;Leptotrichia wadei;;;;;
Leucobacter;Leucobacter chromiiresistens;;Leucobacter chromiiresistens;positive;;;no;
Leucobacter;Leucobacter salsicius;;Leucobacter salsicius;positive;;;no;
Leucobacter;Leucobacter sp. ;UCD THU;Leucobacter sp. UCD THU;positive;;;no;
Leuconostoc;Leuconostoc carnosum;;Leuconostoc carnosum;positive;;;yes;
Leuconostoc;Leuconostoc citreum;;Leuconostoc citreum;positive;humanMicrobiome;;no;
Leuconostoc;Leuconostoc fallax;;Leuconostoc fallax;;;;no;
Leuconostoc;Leuconostoc gasicomitatum;;Leuconostoc gasicomitatum;positive;;;yes;
Leuconostoc;Leuconostoc gelidum;;Leuconostoc gelidum;positive;;;no;
Leuconostoc;Leuconostoc inhae;;Leuconostoc inhae;positive;;;no;
Leuconostoc;Leuconostoc kimchii;;Leuconostoc kimchii;positive;;;no;
Leuconostoc;Leuconostoc lactis;;Leuconostoc lactis;;;;no;
Leuconostoc;Leuconostoc mesenteroides;;Leuconostoc mesenteroides;positive;;;yes;animal
Leuconostoc;Leuconostoc phage ;P793;Leuconostoc phage P793;;;;no;
Leuconostoc;Leuconostoc phage ;phiLN04;Leuconostoc phage phiLN04;;;;no;
Leuconostoc;Leuconostoc pseudomesenteroides;;Leuconostoc pseudomesenteroides;positive;;;no;
Leuconostoc;Leuconostoc sp. ;C2;Leuconostoc sp. C2;positive;;;no;
Leucothrix;Leucothrix mucor;;Leucothrix mucor;negative;;;no;
Lewinella;Lewinella cohaerens;;Lewinella cohaerens;negative;;no;no;
Lewinella;Lewinella persica;;Lewinella persica;negative;;no;no;
Liberibacter;Liberibacter crescens;;Liberibacter crescens;negative;;no;no;
Liberibacter;Liberibacter phage ;SC1;Liberibacter phage SC1;;;;no;
Liberibacter;Liberibacter phage ;SC2;Liberibacter phage SC2;;;;no;
Limnobacter;Limnobacter sp. ;MED105;Limnobacter sp. MED105;negative;;;no;
Limnohabitans;Limnohabitans sp. ;Rim28;Limnohabitans sp. Rim28;negative;;;no;
Limnohabitans;Limnohabitans sp. ;Rim47;Limnohabitans sp. Rim47;negative;;;no;
Listeria;Listeria fleischmannii;;Listeria fleischmannii;;;;;
Listeria;Listeria grayi;;Listeria grayi;positive;;;no;
Listeria;Listeria innocua;;Listeria innocua;positive;;;no;
Listeria;Listeria ivanovii;;Listeria ivanovii;positive;;;no;animal
Listeria;Listeria marthii;;Listeria marthii;positive;;;no;
Listeria;Listeria monocytogenes;;Listeria monocytogenes;;humanMicrobiome;;no;animal
Listeria;Listeria phage ;2389;Listeria phage 2389;;;;no;
Listeria;Listeria phage ;A006;Listeria phage A006;;;;no;
Listeria;Listeria phage ;A118;Listeria phage A118;;;;no;
Listeria;Listeria phage ;A500;Listeria phage A500;;;;no;
Listeria;Listeria phage ;A511;Listeria phage A511;;;;no;
Listeria;Listeria phage ;B025;Listeria phage B025;;;;no;
Listeria;Listeria phage ;B054;Listeria phage B054;;;;no;
Listeria;Listeria phage ;LP 030 2;Listeria phage LP 030 2;;;;no;
Listeria;Listeria phage ;LP 037;Listeria phage LP 037;;;;no;
Listeria;Listeria phage ;LP 110;Listeria phage LP 110;;;;no;
Listeria;Listeria phage ;LP 125;Listeria phage LP 125;;;;no;
Listeria;Listeria phage ;P35;Listeria phage P35;;;;no;
Listeria;Listeria phage ;P40;Listeria phage P40;;;;no;
Listeria;Listeria phage ;P70;Listeria phage P70;;;;;
Listeria;Listeria phage ;vB LmoM AG20;Listeria phage vB LmoM AG20;;;;no;
Listeria;Listeria seeligeri;;Listeria seeligeri;positive;;;no;
Listeria;Listeria welshimeri;;Listeria welshimeri;positive;;;no;
Listonella;Listonella phage ;phiHSIC;Listonella phage phiHSIC;;;;no;
Lodderomyces;Lodderomyces elongisporus;;Lodderomyces elongisporus;;;no;no;
Loktanella;Loktanella cinnabarina;;Loktanella cinnabarina;negative;;;;
Loktanella;Loktanella hongkongensis;;Loktanella hongkongensis;negative;;;;
Loktanella;Loktanella phage ;pCB2051 A;Loktanella phage pCB2051 A;;;;no;
Loktanella;Loktanella vestfoldensis;;Loktanella vestfoldensis;negative;;;yes;
Longispora;Longispora albida;;Longispora albida;positive;;;no;
Ludwigia;Ludwigia leaf ;distortion betasatellite;Ludwigia leaf distortion betasatellite;;;;no;plant
Luffa;Luffa puckering ;and leaf distortion associated DNA beta;Luffa puckering and leaf distortion associated DNA beta;;;;no;plant
Luminiphilus;Luminiphilus syltensis;;Luminiphilus syltensis;;;no;;plant
Lutibaculum;Lutibaculum baratangense;;Lutibaculum baratangense;;;;no;
Lymantria;Lymantria xylina ;MNPV;Lymantria xylina MNPV;;;;;
Lyngbya;Lyngbya aestuarii;;Lyngbya aestuarii;negative;;;;
Lyngbya;Lyngbya sp. ;PCC 8106;Lyngbya sp. PCC 8106;negative;;no;;
Lysinibacillus;Lysinibacillus boronitolerans;;Lysinibacillus boronitolerans;;;;;
Lysinibacillus;Lysinibacillus fusiformis;;Lysinibacillus fusiformis;positive;;;yes;
Lysinibacillus;Lysinibacillus sphaericus;;Lysinibacillus sphaericus;positive;;;;
Macrococcus;Macrococcus caseolyticus;;Macrococcus caseolyticus;negative;;yes;no;
Magnaporthe;Magnaporthe oryzae;;Magnaporthe oryzae;;;no;no;
Magnetococcus;Magnetococcus marinus;;Magnetococcus marinus;negative;;;;
Magnetospirillum;Magnetospirillum magneticum;;Magnetospirillum magneticum;negative;;;no;
Magnetospirillum;Magnetospirillum sp. ;SO 1;Magnetospirillum sp. SO 1;negative;;;no;
Mahella;Mahella australiensis;;Mahella australiensis;positive;;;yes;
Malassezia;Malassezia globosa;;Malassezia globosa;;humanMicrobiome;no;no;animal
Malvastrum;Malvastrum leaf ;curl betasatellite;Malvastrum leaf curl betasatellite;;;;;plant
Malvastrum;Malvastrum leaf ;curl Philippines betasatellite;Malvastrum leaf curl Philippines betasatellite;;;;;plant
Malvastrum;Malvastrum yellow ;mosaic alphasatellite;Malvastrum yellow mosaic alphasatellite;;;;;plant
Malvastrum;Malvastrum yellow ;mosaic Cameroon alphasatellite;Malvastrum yellow mosaic Cameroon alphasatellite;;;;;
Malvastrum;Malvastrum yellow ;vein betasatellite;Malvastrum yellow vein betasatellite;;;;;plant
Mannheimia;Mannheimia haemolytica;;Mannheimia haemolytica;negative;;yes;no;animal
Mannheimia;Mannheimia phage ;phiMHaA1;Mannheimia phage phiMHaA1;;;;no;
Mannheimia;Mannheimia phage ;vB MhM 1152AP;Mannheimia phage vB MhM 1152AP;;;;no;
Mannheimia;Mannheimia succiniciproducens;;Mannheimia succiniciproducens;negative;;;no;
Maribacter;Maribacter sp. ;HTCC2170;Maribacter sp. HTCC2170;negative;;;;
Maricaulis;Maricaulis maris;;Maricaulis maris;;;;;
Maricaulis;Maricaulis sp. ;JL2009;Maricaulis sp. JL2009;negative;;no;yes;
Marichromatium;Marichromatium purpuratum;;Marichromatium purpuratum;negative;;;;
marine;marine actinobacterium;PHSC20C1;marine actinobacterium PHSC20C1;positive;;;yes;
marine;marine gamma;proteobacterium HTCC2080;marine gamma proteobacterium HTCC2080;negative;;;yes;
marine;marine gamma;proteobacterium HTCC2143;marine gamma proteobacterium HTCC2143;negative;;;yes;
marine;marine gamma;proteobacterium HTCC2148;marine gamma proteobacterium HTCC2148;negative;;;yes;
Marine;Marine Group;I thaumarchaeote SCGC AB 629 A13;Marine Group I thaumarchaeote SCGC AB 629 A13;;;;no;
Marine;Marine Group;I thaumarchaeote SCGC AB 629 I23;Marine Group I thaumarchaeote SCGC AB 629 I23;;;;no;
Marine;Marine Group;II euryarchaeote SCGC AB 629 J06;Marine Group II euryarchaeote SCGC AB 629 J06;;;;no;
Marine;Marine group;II euryarchaeote SCGC AAA288 C18;Marine group II euryarchaeote SCGC AAA288 C18;;;;no;
Marine;Marine Group;III euryarchaeote SCGC AAA007 O11;Marine Group III euryarchaeote SCGC AAA007 O11;;;;no;
Marine;Marine Group;III euryarchaeote SCGC AAA288 E19;Marine Group III euryarchaeote SCGC AAA288 E19;;;;no;
Marinilabilia;Marinilabilia salmonicolor;;Marinilabilia salmonicolor;negative;;;no;
Marinimicrobia;Marinimicrobia bacterium;JGI 0000039 D08;Marinimicrobia bacterium JGI 0000039 D08;;;;;
Marinimicrobia;Marinimicrobia bacterium;JGI 0000059 L03;Marinimicrobia bacterium JGI 0000059 L03;;;;;
Marinimicrobia;Marinimicrobia bacterium;SCGC AAA076 M08;Marinimicrobia bacterium SCGC AAA076 M08;;;;yes;
Marinimicrobia;Marinimicrobia bacterium;SCGC AAA160 C11;Marinimicrobia bacterium SCGC AAA160 C11;;;;yes;
Marinimicrobia;Marinimicrobia bacterium;SCGC AAA160 I06;Marinimicrobia bacterium SCGC AAA160 I06;;;;yes;
Marinimicrobia;Marinimicrobia bacterium;SCGC AAA298 D23;Marinimicrobia bacterium SCGC AAA298 D23;;;;yes;
Marinithermus;Marinithermus hydrothermalis;;Marinithermus hydrothermalis;negative;;no;yes;
Marinitoga;Marinitoga piezophila;;Marinitoga piezophila;negative;;no;yes;
Marinobacter;Marinobacter adhaerens;;Marinobacter adhaerens;negative;;no;;
Marinobacter;Marinobacter algicola;;Marinobacter algicola;negative;;no;yes;
Marinobacter;Marinobacter hydrocarbonoclasticus;;Marinobacter hydrocarbonoclasticus;negative;humanMicrobiome;yes;yes;
Marinobacter;Marinobacter lipolyticus;;Marinobacter lipolyticus;negative;;;yes;
Marinobacter;Marinobacter manganoxydans;;Marinobacter manganoxydans;negative;;;yes;
Marinobacter;Marinobacter nanhaiticus;;Marinobacter nanhaiticus;negative;;;yes;
Marinobacter;Marinobacter santoriniensis;;Marinobacter santoriniensis;negative;;;yes;
Marinobacter;Marinobacter sp. ;BSs20148;Marinobacter sp. BSs20148;negative;;;yes;
Marinobacter;Marinobacter sp. ;ELB17;Marinobacter sp. ELB17;negative;;;yes;
Marinobacterium;Marinobacterium rhizophilum;;Marinobacterium rhizophilum;negative;;;yes;
Marinobacterium;Marinobacterium stanieri;;Marinobacterium stanieri;negative;;;yes;
Marinococcus;Marinococcus halotolerans;;Marinococcus halotolerans;;;;;
Marinomonas;Marinomonas mediterranea;;Marinomonas mediterranea;negative;;yes;;
Marinomonas;Marinomonas posidonica;;Marinomonas posidonica;negative;;;;
Marinomonas;Marinomonas sp. ;MED121;Marinomonas sp. MED121;;;;;
Marinomonas;Marinomonas sp. ;MWYL1;Marinomonas sp. MWYL1;negative;;;;
Mariprofundus;Mariprofundus ferrooxydans;;Mariprofundus ferrooxydans;negative;;;yes;
Maritimibacter;Maritimibacter alkaliphilus;;Maritimibacter alkaliphilus;negative;;;;
Marivirga;Marivirga tractuosa;;Marivirga tractuosa;negative;;no;no;
Martelella;Martelella mediterranea;;Martelella mediterranea;negative;;;;
Marvinbryantia;Marvinbryantia formatexigens;;Marvinbryantia formatexigens;negative;humanMicrobiome;no;no;animal
Massilia;Massilia niastensis;;Massilia niastensis;negative;;;;
Massilia;Massilia timonae;;Massilia timonae;negative;humanMicrobiome;yes;;
Mastigocladopsis;Mastigocladopsis repens;;Mastigocladopsis repens;negative;;;;
Megamonas;Megamonas funiformis;;Megamonas funiformis;negative;humanMicrobiome;;no;
Megamonas;Megamonas hypermegale;;Megamonas hypermegale;negative;;;no;
Megamonas;Megamonas rupellensis;;Megamonas rupellensis;negative;;;no;
Meganema;Meganema perideroedes;;Meganema perideroedes;negative;;;no;plant
Megasphaera;Megasphaera elsdenii;;Megasphaera elsdenii;negative;;;no;
Megasphaera;Megasphaera genomosp;type 1;Megasphaera genomosp type 1;;;;no;
Megasphaera;Megasphaera micronuciformis;;Megasphaera micronuciformis;negative;humanMicrobiome;;no;
Megasphaera;Megasphaera sp. ;BL7;Megasphaera sp. BL7;negative;humanMicrobiome;;no;
Megasphaera;Megasphaera sp. ;BV3C16 1;Megasphaera sp. BV3C16 1;negative;humanMicrobiome;;no;
Megasphaera;Megasphaera sp. ;NM10;Megasphaera sp. NM10;negative;;;no;
Megasphaera;Megasphaera sp. ;UPII 135 E;Megasphaera sp. UPII 135 E;;;;;
Megasphaera;Megasphaera sp. ;UPII 199 6;Megasphaera sp. UPII 199 6;;;;;
Meiothermus;Meiothermus ruber;;Meiothermus ruber;negative;;;yes;
Meiothermus;Meiothermus silvanus;;Meiothermus silvanus;negative;;no;yes;
Meiothermus;Meiothermus timidus;;Meiothermus timidus;negative;;;yes;
Melioribacter;Melioribacter roseus;;Melioribacter roseus;;;;;
Melissococcus;Melissococcus plutonius;;Melissococcus plutonius;positive;;yes;no;animal
Mesoflavibacter;Mesoflavibacter zeaxanthinifaciens;;Mesoflavibacter zeaxanthinifaciens;negative;;;yes;
Mesoplasma;Mesoplasma florum;;Mesoplasma florum;;;;no;
Mesorhizobium;Mesorhizobium alhagi;;Mesorhizobium alhagi;negative;;;;
Mesorhizobium;Mesorhizobium amorphae;;Mesorhizobium amorphae;;;;;
Mesorhizobium;Mesorhizobium australicum;;Mesorhizobium australicum;negative;;;;
Mesorhizobium;Mesorhizobium ciceri;;Mesorhizobium ciceri;negative;;;;
Mesorhizobium;Mesorhizobium loti;;Mesorhizobium loti;;;;;
Mesorhizobium;Mesorhizobium metallidurans;;Mesorhizobium metallidurans;negative;;;;
Mesorhizobium;Mesorhizobium opportunistum;;Mesorhizobium opportunistum;negative;;;;
Mesorhizobium;Mesorhizobium sp. ;WSM4349;Mesorhizobium sp. WSM4349;;;;;
Mesotoga;Mesotoga prima;;Mesotoga prima;negative;;no;no;
Mesotoga;Mesotoga sp. ;PhosAc3;Mesotoga sp. PhosAc3;negative;;no;no;
Metallosphaera;Metallosphaera cuprina;;Metallosphaera cuprina;;;;yes;
Metallosphaera;Metallosphaera sedula;;Metallosphaera sedula;;;;yes;
Metallosphaera;Metallosphaera yellowstonensis;;Metallosphaera yellowstonensis;;;;yes;
Metascardovia;Metascardovia criceti;;Metascardovia criceti;positive;;;no;
Methanobacterium;Methanobacterium formicicum;;Methanobacterium formicicum;;;;;
Methanobacterium;Methanobacterium phage ;psiM2;Methanobacterium phage psiM2;;;;no;
Methanobacterium;Methanobacterium sp. ;AL 21;Methanobacterium sp. AL 21;negative;;;;
Methanobacterium;Methanobacterium sp. ;Maddingley MBC34;Methanobacterium sp. Maddingley MBC34;;;;;
Methanobacterium;Methanobacterium sp. ;SWAN 1;Methanobacterium sp. SWAN 1;;;;;
Methanobrevibacter;Methanobrevibacter ruminantium;;Methanobrevibacter ruminantium;positive;;;;
Methanobrevibacter;Methanobrevibacter smithii;;Methanobrevibacter smithii;positive;humanMicrobiome;;;
Methanobrevibacter;Methanobrevibacter sp. ;AbM4;Methanobrevibacter sp. AbM4;positive;;;;
Methanocaldococcus;Methanocaldococcus fervens;;Methanocaldococcus fervens;negative;;;yes;
Methanocaldococcus;Methanocaldococcus infernus;;Methanocaldococcus infernus;negative;;;yes;
Methanocaldococcus;Methanocaldococcus jannaschii;;Methanocaldococcus jannaschii;;;;yes;
Methanocaldococcus;Methanocaldococcus sp. ;FS406 22;Methanocaldococcus sp. FS406 22;;;;yes;
Methanocaldococcus;Methanocaldococcus villosus;;Methanocaldococcus villosus;negative;;;yes;
Methanocaldococcus;Methanocaldococcus vulcanius;;Methanocaldococcus vulcanius;negative;;;yes;
Methanocella;Methanocella arvoryzae;;Methanocella arvoryzae;negative;;;no;
Methanocella;Methanocella conradii;;Methanocella conradii;negative;;;yes;
Methanocella;Methanocella paludicola;;Methanocella paludicola;negative;;;no;
Methanococcoides;Methanococcoides burtonii;;Methanococcoides burtonii;;;;yes;
Methanococcus;Methanococcus aeolicus;;Methanococcus aeolicus;;;;no;
Methanococcus;Methanococcus maripaludis;;Methanococcus maripaludis;;;;no;
Methanococcus;Methanococcus vannielii;;Methanococcus vannielii;negative;;;no;
Methanococcus;Methanococcus voltae;;Methanococcus voltae;negative;;;no;
Methanocorpusculum;Methanocorpusculum labreanum;;Methanocorpusculum labreanum;negative;;;no;
Methanoculleus;Methanoculleus bourgensis;;Methanoculleus bourgensis;;;;no;
Methanoculleus;Methanoculleus marisnigri;;Methanoculleus marisnigri;negative;;;no;
Methanofollis;Methanofollis liminatans;;Methanofollis liminatans;negative;;;no;
Methanohalobium;Methanohalobium evestigatum;;Methanohalobium evestigatum;;;;yes;
Methanohalophilus;Methanohalophilus mahii;;Methanohalophilus mahii;negative;;;yes;
Methanolinea;Methanolinea tarda;;Methanolinea tarda;negative;;;no;
Methanolobus;Methanolobus psychrophilus;;Methanolobus psychrophilus;;;;yes;
Methanolobus;Methanolobus tindarius;;Methanolobus tindarius;negative;;;no;
Methanomassiliicoccus;Methanomassiliicoccus luminyensis;;Methanomassiliicoccus luminyensis;positive;humanMicrobiome;;no;
Methanomethylovorans;Methanomethylovorans hollandica;;Methanomethylovorans hollandica;negative;;;no;
Methanoplanus;Methanoplanus limicola;;Methanoplanus limicola;negative;;;no;
Methanoplanus;Methanoplanus petrolearius;;Methanoplanus petrolearius;negative;;;no;
Methanopyrus;Methanopyrus kandleri;;Methanopyrus kandleri;positive;;;yes;
Methanoregula;Methanoregula boonei;;Methanoregula boonei;negative;;;yes;
Methanoregula;Methanoregula formicica;;Methanoregula formicica;;;;no;
Methanosaeta;Methanosaeta concilii;;Methanosaeta concilii;negative;;;no;
Methanosaeta;Methanosaeta harundinacea;;Methanosaeta harundinacea;variable;;;no;
Methanosaeta;Methanosaeta thermophila;;Methanosaeta thermophila;;;;yes;
Methanosalsum;Methanosalsum zhilinae;;Methanosalsum zhilinae;negative;;;yes;
Methanosarcina;Methanosarcina acetivorans;;Methanosarcina acetivorans;negative;;;no;
Methanosarcina;Methanosarcina barkeri;;Methanosarcina barkeri;positive;;;no;
Methanosarcina;Methanosarcina mazei;;Methanosarcina mazei;;;;no;
Methanosphaera;Methanosphaera stadtmanae;;Methanosphaera stadtmanae;;humanMicrobiome;;;
Methanosphaerula;Methanosphaerula palustris;;Methanosphaerula palustris;positive;;;no;
Methanospirillum;Methanospirillum hungatei;;Methanospirillum hungatei;variable;;;no;
Methanothermobacter;Methanothermobacter marburgensis;;Methanothermobacter marburgensis;;;;yes;
Methanothermobacter;Methanothermobacter phage ;psiM100;Methanothermobacter phage psiM100;;;;no;
Methanothermobacter;Methanothermobacter thermautotrophicus;;Methanothermobacter thermautotrophicus;positive;;;yes;
Methanothermococcus;Methanothermococcus okinawensis;;Methanothermococcus okinawensis;;;;yes;
Methanothermococcus;Methanothermococcus thermolithotrophicus;;Methanothermococcus thermolithotrophicus;;;;yes;
Methanothermus;Methanothermus fervidus;;Methanothermus fervidus;positive;;;yes;
Methanotorris;Methanotorris formicicus;;Methanotorris formicicus;negative;;;yes;
Methanotorris;Methanotorris igneus;;Methanotorris igneus;;;;yes;
Methylacidiphilum;Methylacidiphilum fumariolicum;;Methylacidiphilum fumariolicum;;;no;yes;
Methylacidiphilum;Methylacidiphilum infernorum;;Methylacidiphilum infernorum;;;no;yes;
Methylibium;Methylibium petroleiphilum;;Methylibium petroleiphilum;negative;;no;no;
Methylobacillus;Methylobacillus flagellatus;;Methylobacillus flagellatus;;;;no;
Methylobacter;Methylobacter marinus;;Methylobacter marinus;negative;;;yes;
Methylobacter;Methylobacter sp. ;UW 659 2 G11;Methylobacter sp. UW 659 2 G11;negative;;;;
Methylobacter;Methylobacter sp. ;UW 659 2 H10;Methylobacter sp. UW 659 2 H10;negative;;;;
Methylobacter;Methylobacter tundripaludum;;Methylobacter tundripaludum;negative;;;;
Methylobacterium;Methylobacterium extorquens;;Methylobacterium extorquens;;;no;no;plant
Methylobacterium;Methylobacterium mesophilicum;;Methylobacterium mesophilicum;;;no;no;plant
Methylobacterium;Methylobacterium nodulans;;Methylobacterium nodulans;;;no;no;plant
Methylobacterium;Methylobacterium populi;;Methylobacterium populi;;;no;no;plant
Methylobacterium;Methylobacterium radiotolerans;;Methylobacterium radiotolerans;;;no;no;plant
Methylobacterium;Methylobacterium sp. ;285MFTsu5 1;Methylobacterium sp. 285MFTsu5 1;;;no;no;plant
Methylobacterium;Methylobacterium sp. ;4 46;Methylobacterium sp. 4 46;;;no;no;plant
Methylobacterium;Methylobacterium sp. ;77;Methylobacterium sp. 77;;;no;no;plant
Methylobacterium;Methylobacterium sp. ;88A;Methylobacterium sp. 88A;;;no;no;plant
Methylobacterium;Methylobacterium sp. ;GXF4;Methylobacterium sp. GXF4;;;no;no;plant
Methylobacterium;Methylobacterium sp. ;MB200;Methylobacterium sp. MB200;negative;;;no;
Methylobacterium;Methylobacterium sp. ;WSM2598;Methylobacterium sp. WSM2598;negative;;;no;
Methylocella;Methylocella silvestris;;Methylocella silvestris;negative;;no;no;
Methylococcus;Methylococcus capsulatus;;Methylococcus capsulatus;negative;;;yes;
Methylocystis;Methylocystis parvus;;Methylocystis parvus;negative;;;no;
Methylocystis;Methylocystis rosea;;Methylocystis rosea;negative;;;no;
Methylocystis;Methylocystis sp. ;SC2;Methylocystis sp. SC2;negative;;;no;
Methyloferula;Methyloferula stellata;;Methyloferula stellata;negative;;no;;
Methyloglobulus;Methyloglobulus morosus;;Methyloglobulus morosus;negative;;;;
Methylohalobius;Methylohalobius crimeensis;;Methylohalobius crimeensis;negative;;;yes;
Methylomicrobium;Methylomicrobium album;;Methylomicrobium album;;;;;
Methylomicrobium;Methylomicrobium buryatense;;Methylomicrobium buryatense;negative;;;no;
Methylomonas;Methylomonas methanica;;Methylomonas methanica;negative;;;no;
Methylomonas;Methylomonas sp. ;MK1;Methylomonas sp. MK1;;;;no;
Methylophaga;Methylophaga aminisulfidivorans;;Methylophaga aminisulfidivorans;negative;;;yes;
Methylophaga;Methylophaga lonarensis;;Methylophaga lonarensis;negative;;;yes;
Methylophaga;Methylophaga thiooxydans;;Methylophaga thiooxydans;negative;;;yes;
Methylophilales;Methylophilales bacterium;HTCC2181;Methylophilales bacterium HTCC2181;negative;;;;
Methylophilus;Methylophilus methylotrophus;;Methylophilus methylotrophus;;humanMicrobiome;;no;
Methylophilus;Methylophilus sp. ;1;Methylophilus sp. 1;negative;humanMicrobiome;;;
Methylophilus;Methylophilus sp. ;42;Methylophilus sp. 42;negative;humanMicrobiome;;;
Methylopila;Methylopila sp. ;M107;Methylopila sp. M107;negative;;;no;
Methylosarcina;Methylosarcina fibrata;;Methylosarcina fibrata;negative;;;no;
Methylosinus;Methylosinus sp. ;LW4;Methylosinus sp. LW4;negative;;;no;
Methylosinus;Methylosinus trichosporium;;Methylosinus trichosporium;negative;;;no;
Methylotenera;Methylotenera mobilis;;Methylotenera mobilis;negative;;yes;;
Methylotenera;Methylotenera sp. ;1P 1;Methylotenera sp. 1P 1;negative;;;;
Methylotenera;Methylotenera sp. ;73s;Methylotenera sp. 73s;;;;;
Methylotenera;Methylotenera versatilis;;Methylotenera versatilis;;;;;
Methyloversatilis;Methyloversatilis sp. ;NVD;Methyloversatilis sp. NVD;negative;;;no;
Methyloversatilis;Methyloversatilis universalis;;Methyloversatilis universalis;;;;no;
Methylovorus;Methylovorus glucosotrophus;;Methylovorus glucosotrophus;;;;;
Methylovorus;Methylovorus sp. ;MP688;Methylovorus sp. MP688;negative;;;no;
Methylovulum;Methylovulum miyakonense;;Methylovulum miyakonense;negative;;;no;
Mexican;Mexican papita ;viroid;Mexican papita viroid;;;;no;plant
Meyerozyma;Meyerozyma guilliermondii;;Meyerozyma guilliermondii;;humanMicrobiome;no;no;
Micavibrio;Micavibrio aeruginosavorus;;Micavibrio aeruginosavorus;negative;;;no;animal
Microbacterium;Microbacterium barkeri;;Microbacterium barkeri;positive;;;;
Microbacterium;Microbacterium laevaniformans;;Microbacterium laevaniformans;positive;;;yes;
Microbacterium;Microbacterium maritypicum;;Microbacterium maritypicum;positive;;;yes;
Microbacterium;Microbacterium paraoxydans;;Microbacterium paraoxydans;positive;;yes;no;
Microbacterium;Microbacterium phage ;Min1;Microbacterium phage Min1;;;;no;
Microbacterium;Microbacterium sp. ;11MF;Microbacterium sp. 11MF;positive;;;;
Microbacterium;Microbacterium sp. ;292MF;Microbacterium sp. 292MF;positive;;;;
Microbacterium;Microbacterium sp. ;B19;Microbacterium sp. B19;positive;;;;
Microbacterium;Microbacterium sp. ;oral taxon 186;Microbacterium sp. oral taxon 186;positive;humanMicrobiome;;;
Microbacterium;Microbacterium sp. ;TS 1;Microbacterium sp. TS 1;positive;;;yes;
Microbacterium;Microbacterium sp. ;UCD TDU;Microbacterium sp. UCD TDU;positive;;;;
Microbacterium;Microbacterium testaceum;;Microbacterium testaceum;positive;;;no;
Microbacterium;Microbacterium yannicii;;Microbacterium yannicii;positive;;;no;
Microbulbifer;Microbulbifer agarilyticus;;Microbulbifer agarilyticus;negative;;;yes;
Microbulbifer;Microbulbifer variabilis;;Microbulbifer variabilis;negative;;;yes;
Microchaete;Microchaete sp. ;PCC 7126;Microchaete sp. PCC 7126;negative;;no;;
Micrococcus;Micrococcus luteus;;Micrococcus luteus;positive;humanMicrobiome;yes;yes;
Microcoleus;Microcoleus sp. ;PCC 7113;Microcoleus sp. PCC 7113;;;no;;
Microcoleus;Microcoleus vaginatus;;Microcoleus vaginatus;positive;;no;;
Microcystis;Microcystis aeruginosa;;Microcystis aeruginosa;;;;no;
Microcystis;Microcystis aeruginosa ;phage Ma LMM01;Microcystis aeruginosa phage Ma LMM01;;;;no;
Microcystis;Microcystis sp. ;T1 4;Microcystis sp. T1 4;negative;;;no;animal
Microlunatus;Microlunatus phosphovorus;;Microlunatus phosphovorus;negative;;;no;
Micromonospora;Micromonospora aurantiaca;;Micromonospora aurantiaca;positive;;;no;
Micromonospora;Micromonospora lupini;;Micromonospora lupini;positive;;;no;
Micromonospora;Micromonospora sp. ;ATCC 39149;Micromonospora sp. ATCC 39149;positive;;;no;
Micromonospora;Micromonospora sp. ;CNB394;Micromonospora sp. CNB394;positive;;;no;
Micromonospora;Micromonospora sp. ;L5;Micromonospora sp. L5;positive;;;no;
Microscilla;Microscilla marina;;Microscilla marina;negative;;;no;
Microvirga;Microvirga sp. ;WSM3557;Microvirga sp. WSM3557;negative;;yes;yes;
Microviridae;Microviridae phi ;CA82;Microviridae phi CA82;;;;yes;
Millerozyma;Millerozyma farinosa;;Millerozyma farinosa;;;;yes;
Mitsuokella;Mitsuokella multacida;;Mitsuokella multacida;negative;humanMicrobiome;;no;
Mitsuokella;Mitsuokella sp. ;oral taxon 131;Mitsuokella sp. oral taxon 131;;;;;
Mobilicoccus;Mobilicoccus pelagius;;Mobilicoccus pelagius;positive;;;no;
Mobiluncus;Mobiluncus curtisii;;Mobiluncus curtisii;;humanMicrobiome;yes;no;
Mobiluncus;Mobiluncus mulieris;;Mobiluncus mulieris;;humanMicrobiome;yes;no;
Modestobacter;Modestobacter multiseptatus;;Modestobacter multiseptatus;positive;;;yes;
Mogibacterium;Mogibacterium sp. ;CM50;Mogibacterium sp. CM50;positive;;;;
Moniliophthora;Moniliophthora perniciosa;;Moniliophthora perniciosa;;;;no;plant
Moorea;Moorea producens;;Moorea producens;;;;;
Moorella;Moorella thermoacetica;;Moorella thermoacetica;positive;;;yes;
Moraxella;Moraxella boevrei;;Moraxella boevrei;negative;;;no;animal
Moraxella;Moraxella catarrhalis;;Moraxella catarrhalis;positive;;yes;no;
Moraxella;Moraxella macacae;;Moraxella macacae;negative;;yes;no;animal
Morganella;Morganella morganii;;Morganella morganii;;;;no;
Morganella;Morganella phage ;MmP1;Morganella phage MmP1;;;;no;
Moritella;Moritella dasanensis;;Moritella dasanensis;negative;;;yes;
Moritella;Moritella marina;;Moritella marina;negative;;;yes;
Moritella;Moritella sp. ;PE36;Moritella sp. PE36;;;;yes;
