pasteur_genus;pasteur_species;pasteur_strain;pasteur_speciesStrain;pasteur_typeStrain;pasteur_cultureNo;pasteur_growthTemp;pasteur_ref;pasteur_genes;pasteur_source;pasteur_oxygen;pasteur_medium
Achromobacter;Achromobacter marplatensis;;Achromobacter marplatensis;yes;CECT 7342|CCM 7608|CCUG 56371;30;Int. J. Syst. Evol. Microbiol., 2011, 61, 2231-2237|Int. J. Syst. Evol. Microbiol., 2013, 63, 2371.;;Soil by selective enrichment with pentachlorophenol;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=328
Achromobacter;Achromobacter mucicolens;;Achromobacter mucicolens;yes;CCUG 61961|LMG 26685|AU 13054|R-46658;37;System. Appl. Microbiol., 2013, 36, 1-10|Int. J. Syst. Evol. Microbiol., 2013, 63, 2365–2367.;;Human, sputum, non-cystic fibrosis patient;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Achromobacter;Achromobacter piechaudii;;Achromobacter piechaudii;;;37|30;Int. J. Syst. Bacteriol., 1986, 36, 282|Ann. Inst. Pasteur, 1981, 132B, 337|Curr. Microbiol., 1993, 27, 79|Res. Microbiol., 1993, 144, 221.;;Human, blood;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72|https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
Achromobacter;Achromobacter piechaudii;DSM 10342;Achromobacter piechaudii DSM 10342;yes;ATCC 43552|CCUG 724|IAM 12591|LMG 1873|DSM 10342|NBIMCC 557;30;Int. J. Syst. Bacteriol., 1986, 36, 282|Int. J. Syst. Bacteriol., 1995, 1, 46|Int. J. Syst. Bacteriol. 1998, 48, 1083|Ann. Inst. Pasteur, 1981, 132B, 337|Curr. Microbiol., 1993, 27, 79|Res. Microbiol., 1993, 144, 221|Microbiol. Immunol., 1998, 42, 429.;;Pharyngeal swab;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Achromobacter;Achromobacter pulmonis;;Achromobacter pulmonis;yes;CCUG 61972|LMG 26696|E38/27-S|R-16442;30;System. Appl. Microbiol., 2013, 36, 1-10.;;Human, sputum;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Achromobacter;Achromobacter ruhlandii;;Achromobacter ruhlandii;yes;ATCC 15749|DSM 653|NCIMB 11475|CCM 7494|CCUG 38886|LMG 1866;30;Int. J. Syst. Bacteriol., 1980, 30, 420|Int. J. Syst. Bacteriol., 1969, 19, 385|Int. J. Syst. Bacteriol., 1977, 27, 279|Int. J. Syst. Bacteriol., 1998, 48, 1083|J. Bacteriol., 1955, 70, 216|Biochim. Biophys. Acta, 1963, 67, 581 Biochim. Biophys. Acta, 1963, 67, 589|Arch. Microbiol., 1970, 70, 1|Microbiol. Immunol., 1998, 42, 429.;;Soil;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Achromobacter;Achromobacter spanius;;Achromobacter spanius;;ATCC 13138;37;Int. J. Syst. Bacteriol., 1986, 36, 282|Curr. Microbiol., 1993, 27, 79|Res. Microbiol., 1993, 144, 221|Int. J. Syst. Evol. Microbiol., 2003, 53, 1823.;;Human, buccal cavity with laryngeal cancer;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
Achromobacter;Achromobacter spanius;CCUG 47062;Achromobacter spanius CCUG 47062;yes;CCUG 47062|API 198-2-84|LMG 5911;37;Int. J. Syst. Microbiol., 2003, 53, 1819-1824|Int. J. Syst. Evol. Microbiol., 2004, 54, 309-311.;;Human, blood;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Achromobacter;Achromobacter spiritinus;;Achromobacter spiritinus;yes;CCUG 61968|LMG 26692|AU 14580|R-46660;30;System. Appl. Microbiol., 2013, 36, 1-10.;;Human, sputum, non cystic fibrosis patient;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Achromobacter;Achromobacter xylosoxidans;denitrificans;Achromobacter xylosoxidans denitrificans;;;30;;;Human, dog bite|Human, peritoneal lavage|Human, blood|Human, urine;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72|https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3|https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72|https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
Achromobacter;Achromobacter xylosoxidans;denitrificans DSM 30026;Achromobacter xylosoxidans denitrificans denitrificans DSM 30026;yes;ATCC 15173|DSM 30026|JCM 5490|LMG 1231|NCTC 8582|NCIB 11961|LMG 3510|CECT 449;37;J. Gen. Microbiol., 1954, 11, 513|Int. J. Syst. Bacteriol., 1983, 33, 85|Int. J. Syst. Bacteriol., 1986, 36, 282|Int. J. Syst. Bacteriol., 1994, 44, 410|Int. J. Syst. Bacteriol., 1995, 1, 37|Int. J. Syst. Bacteriol., 1996, 46, 847|Int. J. Syst. Bacteriol., 1997, 47, 243|Int. J. Syst. Bacteriol., 1998, 48, 1083|Curr. Microbiol., 1993, 27, 79|Res. Microbiol., 1993, 144, 221|Microbiol. Immunol., 1998, 42, 429.;;Soil;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
Achromobacter;Achromobacter xylosoxidans;xylosoxidans;Achromobacter xylosoxidans xylosoxidans;;;30;J. Clin. Microbiol., 1994, 32, 1023.|Ann. Inst. Pasteur, 1961, 100, 59|J. Bacteriol., 1953, 66, 465.;;Human, blood|Human|Human, blood|Human, pleural fluid|Human, sputum|Human, blood|Human, ear|Human, sputum|Human, skin|Human, bile|Human, sputum|Human, blood|Human, trachea|Human|Blood|Human, skin|Human, lung|Human, blood|Human, ear pus|Sputum;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72|https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3|https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72|https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3|https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72|https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3|https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72|https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
Achromobacter;Achromobacter xylosoxidans;xylosoxidans NBIMCC 152;Achromobacter xylosoxidans xylosoxidans NBIMCC 152;;NBIMCC 152;30;;;Human, urine;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
Achromobacter;Achromobacter xylosoxidans;xylosoxidans ATCC 9220;Achromobacter xylosoxidans xylosoxidans xylosoxidans ATCC 9220;;ATCC 9220|NCTC 8764;30;;;Sepsis;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
Achromobacter;Achromobacter xylosoxidans;xylosoxidans DSM 2402;Achromobacter xylosoxidans xylosoxidans xylosoxidans DSM 2402;yes;ATCC 27061|CCM 2741|LMG 1863|NCTC 10807|DSM 2402|NCIB 12033;30;Int. J. Syst. Bacteriol., 1981, 31, 477|Int. J. Syst. Bacteriol., 1984, 34, 355|Int. J. Syst. Bacteriol., 1986, 36, 282|Int. J. Syst. Bacteriol., 1995, 1, 37|Int. J. Syst. Bacteriol., 1996, 46, 853|Int. J. Syst. Bacteriol., 1997, 47, 243|Int. J. Syst. Bacteriol., 1998, 48, 1083|Jpn J. Microbiol., 1970, 15, 480|Jpn J. Microbiol., 1971, 15, 477|Curr. Microbiol., 1993, 27, 79|Res. Microbiol., 1993, 144, 221|Antimicrob. Agents Chemother., 1995, 39, 771|Microbiol. Immunol., 1998, 42, 429.;;Ear discharge;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
Achromobacter;Achromobacter xylosoxidans;xylosoxidans NBIMCC 151;Achromobacter xylosoxidans xylosoxidans xylosoxidans NBIMCC 151;;NBIMCC 151;30;Curr. Microbiol., 1993, 27, 79|Res. Microbiol., 1993, 144, 221|Int. J. Syst. Bacteriol., 1986, 36, 282.;;Antiseptic solution, quaternair ammonium;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
Acidaminobacter;Acidaminobacter hydrogenoformans;;Acidaminobacter hydrogenoformans;yes;DSM 2784;30;Int. J. Syst. Bacteriol., 1999, 49, 1039-1044|Int. J. Syst. Bacteriol., 1985, 35, 223-225|Arch. Microbiol., 1984, 137, 329-337.;;Estuarine mud;anaerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=224
Acidaminococcus;Acidaminococcus fermentans;;Acidaminococcus fermentans;yes;CCUG 9996|DSM 20731|ATCC 25085;37;J. Bacteriol., 1969, 98, 756-766|Int. J. Syst. Bacteriol., 1980, 30, 225-420|Int. J. Syst. Bacteriol., 1994, 44, 576-578|FEMS Microbiol. Lett., 1992, 97, 7-12|Int. J. Syst. Evol. Microbiol., 2007, 57, 2314-2319|Int. J. Syst. Evol. Microbiol., 2015, 65, 3203-30215.;;Pig, gut;anaerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=348
Acidaminococcus;Acidaminococcus intestini;;Acidaminococcus intestini;yes;AIP 283.01|CCUG 50930;37;Int. J. Syst. Evol. Microbiol., 2007, 57, 2314-2319|Int. J. Syst. Evol. Microbiol., 2008, 58, 3-4|Int. J. Syst. Evol. Microbiol., 2010, 60, 1271-1279|Int. J. Syst. Evol. Microbiol., 2015, 65, 3203-3215.;;Human, peritoneal liquid;anaerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=6
Acidiphilium;Acidiphilium acidophilum;;Acidiphilium acidophilum;yes;ATCC 27807|DSM 700;26;Int. J. Syst. Bacteriol., 1983, 33, 211|Int. J. Syst. Bacteriol., 1998, 48, 1389|Int. J. Syst. Bacteriol., 1999, 49, 6|Can. J. Microbiol., 1975, 21, 281|Can. J. Microbiol., 1980, 26, 385 and 1057|Int. J. Syst. Evol. Microbiol., 2015, 65, 42-48.;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=125
Acidipropionibacterium;Acidipropionibacterium acidipropionici;;Acidipropionibacterium acidipropionici;;ATCC 4875|DSM 20272|NCDO 570|NCIMB 8070;30;J. Bacteriol., 1972, 109, 1047|FEMS Lett., 1968, 1, 287.;;Cheese, Emmenthal;anaerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=20
Acidipropionibacterium;Acidipropionibacterium acidipropionici;DSM 4900;Acidipropionibacterium acidipropionici DSM 4900;yes;ATCC 25562|DSM 4900|NCIMB 11858|;30;Int. J. Syst. Bacteriol., 1980, 30, 346|J. Bacteriol., 1972, 109, 1047|Int. J. Syst. Evol. Microbiol., 2016, 66, 4422-4432|Int. J. Syst. Evol. Microbiol., 2017, 67, 179-182.;;;anaerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=20
Acidipropionibacterium;Acidipropionibacterium jensenii;DSM 20274;Acidipropionibacterium jensenii DSM 20274;;ATCC 4964|DSM 20274|NCDO 569|NCIMB 5967;30;J. Bacteriol., 1932, 23, 40|J. Bacteriol., 1933, 26, 396|J. Bacteriol., 1934, 28, 473|J. Bacteriol., 1972, 109, 1047.;;;anaerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=20
Acidipropionibacterium;Acidipropionibacterium jensenii;DSM 20535;Acidipropionibacterium jensenii DSM 20535;yes;ATCC 4868|DSM 20535|NCDO 850|NCIMB 8071|CCUG 48883;37;Int. J. Syst. Bacteriol., 1980, 30, 347|J. Bacteriol., 1972, 109, 1047-1066|Int. J. Syst. Evol. Microbiol., 2016, 66, 4422-4432|Int. J. Syst. Evol. Microbiol., 2017, 67, 179-182.;;Buttermilk;anaerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=20
Acidipropionibacterium;Acidipropionibacterium microaerophilum;;Acidipropionibacterium microaerophilum;yes;DSM 13435|CNCM I-2360;30;Int. J. Syst. Evol. Microbiol., 2001, 51, 1373-1382|Int. J. Syst. Evol. Microbiol., 2016, 66, 4422-4432|Int. J. Syst. Evol. Microbiol., 2017, 67, 179-182.;;Olive mill wastwater;anaerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=20
Acidipropionibacterium;Acidipropionibacterium thoenii;;Acidipropionibacterium thoenii;yes;ATCC 4874|CCM 1865|DSM 20276|NCDO 568|NCIMB 5966|CCUG 28149|JCM 6437|LMG 16455;30;Int. J. Syst. Bacteriol., 1980, 30, 347|J. Bacteriol., 1972, 109, 1047|Int. J. Syst. Evol. Microbiol., 2016, 66, 4422-4432|Int. J. Syst. Evol. Microbiol., 2017, 67, 179-182.;;Cheese, Emmenthal;anaerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=20
Acidipropionibacterium;Acidipropionibacterium thoenii;pb identification 16S;Acidipropionibacterium thoenii pb identification 16S;;ATCC 4872|DSM 20277|NCDO 854|NCIMB 8072;30;J. Bacteriol., 1972, 109, 1047.;;Cheese, Emmenthal;anaerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=20
Acidithiobacillus;Acidithiobacillus thiooxidans;ATCC 19377;Acidithiobacillus thiooxidans ATCC 19377;yes;ATCC 19377|IAM 12134|JCM 3867|NCIMB 8343;25;Int. J. Syst. Bacteriol., 1980, 30, 413|Can. J. Microbiol., 1978, 24, 804|J. Gen. Appl. Microbiol., 1983, 29, 287|Int. J. Syst. Evol. Microbiol., 2000, 50, 511-516|Int. J. Syst. Evol. Microbiol., 2000, 50, 951-953|Extremophiles, 2010, 14, 9-19.;;Kimmeridge clay;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=124
Acidithiobacillus;Acidithiobacillus thiooxidans;ATCC 19703;Acidithiobacillus thiooxidans ATCC 19703;;ATCC 19703|NCIMB 8345;25;Int. J. Syst. Bacteriol., 1966, 16, 124|Int. J. Syst. Bacteriol., 1980, 30, 225-420|J. Exp. Biol. Med. Sci., 1945, 23, 81|Int. J. Syst. Evol. Microbiol., 2000, 50, 511-516|Extremophiles, 2010, 14, 9-19.;;Concrete sewer;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=176
Acidomonas;Acidomonas methanolica;;Acidomonas methanolica;yes;ATCC 43581|IMET 10945|LMG 1668|JCM 6891;30;Int. J. Syst. Bacteriol., 1986, 36, 317|Int. J. Syst. Bacteriol., 1989, 39, 50|Arch. Microbiol., 1987, 149, 149|Int. J. Syst. Evol. Microbiol., 2004, 54, 865-870|Int. J. Syst. Evol. Microbiol., 2004, 54, 1427-1428.;;Septic methanol-yeast process;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=2
Acidovorax;Acidovorax anthurii;;Acidovorax anthurii;yes;CFBP 3232|CCUG 64016;30;Int. J. Syst. Evol. Microbiol., 2000, 50, 235-246|Int. J. Syst. Evol. Microbiol., 2000, 50, 425-426.;;Anthurium sp.;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Acidovorax;Acidovorax avenae;avenae ATCC 19307;Acidovorax avenae avenae ATCC 19307;;CCUG 15837|ATCC 19307|LMG 2281|ICMP 254|NCPPB 920;25;Int. J. Syst. Bacteriol., 1980, 30, 225-420|J. Gen. Microbiol., 1990, 136, 2029-2033.;;Saccharum officinarum;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
Acidovorax;Acidovorax avenae;avenae ATCC 19882;Acidovorax avenae avenae ATCC 19882;;CCUG 15836|LMG 1806|NCPPB 1392|ATCC 19882|ICMP 3960|CFBP 2426;25;Int. J. Syst. Bacteriol., 1992, 42, 107-119.;;Oryza sativa;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
Acidovorax;Acidovorax avenae;avenae DSM 7227;Acidovorax avenae avenae DSM 7227;yes;ATCC 19860|ICMP 3183|ICPB PA117|LMG 2117|NCPPB 1011|DSM 7227|CCUG 15838;30;Int. J. Syst. Bacteriol., 1975, 25, 133-137|Int. J. Syst. Bacteriol., 1980, 30, 225-420|Int. J. Syst. Bacteriol., 1982, 42, 107-119|Int. J. Syst. Bacteriol., 1990, 40, 384-398|Int. J. Syst. Bacteriol., 1992, 42, 107-119|Phytopathology, 1960, 50, 906-910.;;Zea mays;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
