locus_tag	ftype	length_bp	gene	EC_number	COG	product
JKMCHIPE_00084	CDS	381	rplQ		COG0203	50S ribosomal protein L17
JKMCHIPE_00085	CDS	840	ecfA1	7.-.-.-		Energy-coupling factor transporter ATP-binding protein EcfA1
JKMCHIPE_00086	CDS	870	ecfA2	3.6.3.-		Energy-coupling factor transporter ATP-binding protein EcfA2
JKMCHIPE_00087	CDS	798	ecfT			Energy-coupling factor transporter transmembrane protein EcfT
JKMCHIPE_00088	CDS	747	truA_1	5.4.99.12	COG0101	tRNA pseudouridine synthase A
JKMCHIPE_00089	CDS	138				hypothetical protein
JKMCHIPE_00090	CDS	777				hypothetical protein
JKMCHIPE_00091	CDS	408	lrpC		COG1522	HTH-type transcriptional regulator LrpC
JKMCHIPE_00092	CDS	339				hypothetical protein
JKMCHIPE_00093	CDS	540				hypothetical protein
JKMCHIPE_00094	CDS	621				hypothetical protein
JKMCHIPE_00095	CDS	2670				hypothetical protein
JKMCHIPE_00096	CDS	189	rpmB			50S ribosomal protein L28
JKMCHIPE_00097	CDS	363				putative protein
JKMCHIPE_00098	CDS	1683				putative protein
JKMCHIPE_00099	CDS	2037	recG	3.6.4.12		ATP-dependent DNA helicase RecG
JKMCHIPE_00100	CDS	1002	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
JKMCHIPE_00101	CDS	243	acpP		COG0236	Acyl carrier protein
JKMCHIPE_00102	CDS	1005	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
JKMCHIPE_00103	CDS	945	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
JKMCHIPE_00104	CDS	963	gsiC		COG0601	Glutathione transport system permease protein GsiC
JKMCHIPE_00105	CDS	915				hypothetical protein
JKMCHIPE_00106	CDS	1782				hypothetical protein
JKMCHIPE_00107	CDS	687	rnc	3.1.26.3	COG0571	Ribonuclease 3
JKMCHIPE_00108	CDS	3582	smc_1		COG1196	Chromosome partition protein Smc
JKMCHIPE_00109	CDS	810	yidA_1	3.1.3.23	COG0561	Sugar phosphatase YidA
JKMCHIPE_00110	CDS	999	ftsY		COG0552	Signal recognition particle receptor FtsY
JKMCHIPE_00111	CDS	2268	gshAB		COG1181	Glutathione biosynthesis bifunctional protein GshAB
JKMCHIPE_00112	CDS	453	yueI		COG5506	putative protein YueI
JKMCHIPE_00113	CDS	951	yclN		COG4606	Petrobactin import system permease protein YclN
JKMCHIPE_00114	CDS	960	yclO		COG4605	Petrobactin import system permease protein YclO
JKMCHIPE_00115	CDS	756	yclP	7.2.2.-	COG4604	Petrobactin import ATP-binding protein YclP
JKMCHIPE_00116	CDS	954	yclQ		COG4607	Petrobactin-binding protein YclQ
JKMCHIPE_00117	CDS	108				hypothetical protein
JKMCHIPE_00118	CDS	297				hypothetical protein
JKMCHIPE_00119	CDS	357				hypothetical protein
JKMCHIPE_00120	CDS	900				hypothetical protein
JKMCHIPE_00121	CDS	729				hypothetical protein
JKMCHIPE_00122	CDS	2028				hypothetical protein
JKMCHIPE_00123	CDS	1077				hypothetical protein
JKMCHIPE_00124	CDS	1470				hypothetical protein
JKMCHIPE_00125	CDS	735	gla		COG0580	Glycerol facilitator-aquaporin gla
JKMCHIPE_00126	CDS	411	cidA			Holin-like protein CidA
JKMCHIPE_00127	CDS	702	yohK		COG1346	Inner membrane protein YohK
JKMCHIPE_00128	CDS	1578				hypothetical protein
JKMCHIPE_00129	CDS	222				hypothetical protein
JKMCHIPE_00130	CDS	762		1.1.1.391	COG1028	3-beta-hydroxycholanate 3-dehydrogenase (NAD(+)) 2
JKMCHIPE_00131	CDS	510	queT_1		COG4708	Queuosine precursor transporter QueT
JKMCHIPE_00132	CDS	540	bioY2		COG1268	Biotin transporter BioY2
JKMCHIPE_00133	CDS	612	rpsD		COG0522	30S ribosomal protein S4
JKMCHIPE_00134	CDS	834	nirC		COG2116	Nitrite transporter NirC
JKMCHIPE_00135	CDS	636				hypothetical protein
JKMCHIPE_00136	CDS	774				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
JKMCHIPE_00137	CDS	798	ymdB	3.1.4.16	COG1692	2',3'-cyclic-nucleotide 2'-phosphodiesterase
JKMCHIPE_00138	CDS	375	ymcA		COG4550	putative protein YmcA
JKMCHIPE_00139	CDS	2646	mutS_1		COG0249	DNA mismatch repair protein MutS
JKMCHIPE_00140	CDS	2109	mutL		COG0323	DNA mismatch repair protein MutL
JKMCHIPE_00141	CDS	561	maf	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
JKMCHIPE_00142	CDS	1989				hypothetical protein
JKMCHIPE_00143	CDS	714	treR		COG2188	HTH-type transcriptional regulator TreR
JKMCHIPE_00144	CDS	447	msrB	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
JKMCHIPE_00145	CDS	603	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
JKMCHIPE_00146	CDS	1002	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
JKMCHIPE_00147	CDS	579				hypothetical protein
JKMCHIPE_00148	CDS	483	yfkJ	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
JKMCHIPE_00149	CDS	375				hypothetical protein
JKMCHIPE_00150	CDS	1353	brnQ_1		COG1114	Branched-chain amino acid transport system 2 carrier protein
JKMCHIPE_00151	CDS	591				Potassium channel
JKMCHIPE_00152	CDS	1350	cycA_1		COG1113	D-serine/D-alanine/glycine transporter
JKMCHIPE_00153	CDS	741	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
JKMCHIPE_00154	CDS	1593	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
JKMCHIPE_00155	CDS	192				hypothetical protein
JKMCHIPE_00156	CDS	297				hypothetical protein
JKMCHIPE_00157	CDS	726	cobB	2.3.1.286	COG0846	NAD-dependent protein deacetylase
JKMCHIPE_00158	CDS	843	dapH_1	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
JKMCHIPE_00159	CDS	522	nadR		COG1827	Transcription repressor NadR
JKMCHIPE_00160	CDS	564	def_1	3.5.1.88	COG0242	Peptide deformylase
JKMCHIPE_00161	CDS	270	rpsO		COG0184	30S ribosomal protein S15
JKMCHIPE_00162	CDS	2127	pnp_1	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
JKMCHIPE_00163	CDS	267				hypothetical protein
JKMCHIPE_00164	CDS	1992	kup			Low affinity potassium transport system protein kup
JKMCHIPE_00165	CDS	1302				hypothetical protein
JKMCHIPE_00166	CDS	1371	dinF		COG0534	DNA damage-inducible protein F
JKMCHIPE_00167	CDS	324				hypothetical protein
JKMCHIPE_00168	CDS	609	ctc		COG1825	General stress protein CTC
JKMCHIPE_00169	CDS	717	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
JKMCHIPE_00170	CDS	696	yfnB_1	3.-.-.-	COG1011	Putative HAD-hydrolase YfnB
JKMCHIPE_00171	CDS	630	udk	2.7.1.48	COG0572	Uridine kinase
JKMCHIPE_00172	CDS	603				hypothetical protein
JKMCHIPE_00173	CDS	489		2.3.1.-	COG0454	putative N-acetyltransferase
JKMCHIPE_00174	CDS	1374				hypothetical protein
JKMCHIPE_00175	CDS	468				hypothetical protein
JKMCHIPE_00176	CDS	1746	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
JKMCHIPE_00177	CDS	1077	ddl	6.3.2.4	COG1181	D-alanine--D-alanine ligase
JKMCHIPE_00178	CDS	1413	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
JKMCHIPE_00179	CDS	1512	cshA	3.6.4.13	COG0513	ATP-dependent RNA helicase CshA
JKMCHIPE_00180	CDS	351	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
JKMCHIPE_00181	CDS	1122	alr	5.1.1.1	COG0787	Alanine racemase
JKMCHIPE_00182	CDS	363	ndoA	3.1.27.-	COG2337	Endoribonuclease EndoA
JKMCHIPE_00183	CDS	270	rpsN2		COG0199	Alternate 30S ribosomal protein S14
JKMCHIPE_00184	CDS	948				Zinc-type alcohol dehydrogenase-like protein
JKMCHIPE_00185	CDS	2706	smc_2			Chromosome partition protein Smc
JKMCHIPE_00186	CDS	1824	kimA		COG0531	Potassium transporter KimA
JKMCHIPE_00187	CDS	264				hypothetical protein
JKMCHIPE_00188	CDS	267				hypothetical protein
JKMCHIPE_00189	CDS	489				hypothetical protein
JKMCHIPE_00190	CDS	168				hypothetical protein
JKMCHIPE_00191	CDS	99				hypothetical protein
JKMCHIPE_00192	CDS	672	opuCD		COG1174	Glycine betaine/carnitine/choline transport system permease protein OpuCD
JKMCHIPE_00193	CDS	918	opuCC		COG1732	Glycine betaine/carnitine/choline-binding protein OpuCC
JKMCHIPE_00194	CDS	642	opuCB		COG1174	Carnitine transport permease protein OpuCB
JKMCHIPE_00195	CDS	1176	opuCA	7.6.2.9	COG1125	Carnitine transport ATP-binding protein OpuCA
JKMCHIPE_00196	CDS	1032	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
JKMCHIPE_00197	CDS	2640		7.2.2.10		Calcium-transporting ATPase 1
JKMCHIPE_00198	CDS	699				hypothetical protein
JKMCHIPE_00199	CDS	1146	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
JKMCHIPE_00200	CDS	381				hypothetical protein
JKMCHIPE_00201	CDS	2598	adhE		COG1012	Aldehyde-alcohol dehydrogenase
JKMCHIPE_00202	CDS	1107	yesR	3.2.1.172	COG4225	Unsaturated rhamnogalacturonyl hydrolase YesR
JKMCHIPE_00203	CDS	1029			COG1638	Solute-binding protein
JKMCHIPE_00204	CDS	480	siaQ		COG3090	Sialic acid TRAP transporter small permease protein SiaQ
JKMCHIPE_00205	CDS	1296	dctM		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
JKMCHIPE_00206	CDS	825	iolE_1	4.2.1.44		Inosose dehydratase
JKMCHIPE_00207	CDS	900	rhaS_1			HTH-type transcriptional activator RhaS
JKMCHIPE_00208	CDS	870	araC			Arabinose operon regulatory protein
JKMCHIPE_00209	CDS	1461	rhaB	2.7.1.5		Rhamnulokinase
JKMCHIPE_00210	CDS	1257	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
JKMCHIPE_00211	CDS	846	rhaD	4.1.2.19	COG0235	Rhamnulose-1-phosphate aldolase
JKMCHIPE_00212	CDS	312	rhaM	5.1.3.32	COG3254	L-rhamnose mutarotase
JKMCHIPE_00213	CDS	1152	fucO	1.1.1.77	COG1454	Lactaldehyde reductase
JKMCHIPE_00214	CDS	759	iclR		COG1414	Transcriptional repressor IclR
JKMCHIPE_00215	CDS	645	kdgA		COG0800	KHG/KDPG aldolase
JKMCHIPE_00216	CDS	1008	kdgK	2.7.1.45		2-dehydro-3-deoxygluconokinase
JKMCHIPE_00217	CDS	843	kduI1	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase 1
JKMCHIPE_00218	CDS	807	kduD	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
JKMCHIPE_00219	CDS	1065	fni	5.3.3.2		Isopentenyl-diphosphate delta-isomerase
JKMCHIPE_00220	CDS	1086		2.7.4.2		Phosphomevalonate kinase
JKMCHIPE_00221	CDS	978				hypothetical protein
JKMCHIPE_00222	CDS	945	galK_1	2.7.1.6		Galactokinase
JKMCHIPE_00223	CDS	654		2.7.1.113	COG1428	Deoxyguanosine kinase
JKMCHIPE_00224	CDS	906	corA		COG0598	Cobalt/magnesium transport protein CorA
JKMCHIPE_00225	CDS	633				hypothetical protein
JKMCHIPE_00226	CDS	525	infC			Translation initiation factor IF-3
JKMCHIPE_00227	CDS	201	rpmI		COG0291	50S ribosomal protein L35
JKMCHIPE_00228	CDS	360	rplT		COG0292	50S ribosomal protein L20
JKMCHIPE_00229	CDS	1338				hypothetical protein
JKMCHIPE_00230	CDS	2130				hypothetical protein
JKMCHIPE_00231	CDS	459				hypothetical protein
JKMCHIPE_00232	CDS	687	rspR_1		COG1802	HTH-type transcriptional repressor RspR
JKMCHIPE_00233	CDS	168				hypothetical protein
JKMCHIPE_00234	CDS	441		3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
JKMCHIPE_00235	CDS	846	nnrD	4.2.1.136	COG0063	ADP-dependent (S)-NAD(P)H-hydrate dehydratase
JKMCHIPE_00236	CDS	1419	pepV	3.4.13.-		Beta-Ala-Xaa dipeptidase
JKMCHIPE_00237	CDS	948				hypothetical protein
JKMCHIPE_00238	CDS	351				hypothetical protein
JKMCHIPE_00239	CDS	1080	pepA	3.4.11.7	COG1363	Glutamyl aminopeptidase
JKMCHIPE_00240	CDS	321	ytpP			Thioredoxin-like protein YtpP
JKMCHIPE_00241	CDS	465				Putative universal stress protein
JKMCHIPE_00242	CDS	606				hypothetical protein
JKMCHIPE_00243	CDS	1290	htrA	3.4.21.107	COG0265	Serine protease Do-like HtrA
JKMCHIPE_00244	CDS	480	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
JKMCHIPE_00245	CDS	510				hypothetical protein
JKMCHIPE_00246	CDS	651				hypothetical protein
JKMCHIPE_00247	CDS	939	panE_1	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
JKMCHIPE_00248	CDS	1053				hypothetical protein
JKMCHIPE_00249	CDS	636				hypothetical protein
JKMCHIPE_00250	CDS	405	ohrB_1		COG1764	Organic hydroperoxide resistance protein OhrB
JKMCHIPE_00251	CDS	1044				hypothetical protein
JKMCHIPE_00252	CDS	564	hsdS_1		COG0732	Type-1 restriction enzyme EcoKI specificity protein
JKMCHIPE_00253	CDS	1641				hypothetical protein
JKMCHIPE_00254	CDS	111				hypothetical protein
JKMCHIPE_00255	CDS	561				hypothetical protein
JKMCHIPE_00256	CDS	615				hypothetical protein
JKMCHIPE_00257	CDS	1881	cadA_1	3.6.3.3		Cadmium-transporting ATPase
JKMCHIPE_00258	CDS	228	copZ_1			Copper chaperone CopZ
JKMCHIPE_00259	CDS	543				hypothetical protein
JKMCHIPE_00260	CDS	717				hypothetical protein
JKMCHIPE_00261	CDS	3030				hypothetical protein
JKMCHIPE_00262	CDS	1242	sstT_1		COG3633	Serine/threonine transporter SstT
JKMCHIPE_00263	CDS	636				hypothetical protein
JKMCHIPE_00264	CDS	741	truA_2	5.4.99.12	COG0101	tRNA pseudouridine synthase A
JKMCHIPE_00265	CDS	1599				hypothetical protein
JKMCHIPE_00266	CDS	1689				hypothetical protein
JKMCHIPE_00267	CDS	1635				hypothetical protein
JKMCHIPE_00268	CDS	837				IS3 family transposase IS1485
JKMCHIPE_00269	CDS	291				IS3 family transposase IS1485
JKMCHIPE_00270	CDS	834	msrA_1	1.8.4.11		Peptide methionine sulfoxide reductase MsrA
JKMCHIPE_00271	CDS	990	gpr	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
JKMCHIPE_00272	CDS	699	glcC		COG2186	Glc operon transcriptional activator
JKMCHIPE_00273	CDS	1302	gmuC_1		COG1455	PTS system oligo-beta-mannoside-specific EIIC component
JKMCHIPE_00274	CDS	1416	gmuD_1	3.2.1.86	COG2723	6-phospho-beta-glucosidase GmuD
JKMCHIPE_00275	CDS	321	ptcB_1	2.7.1.204	COG1440	PTS system galactose-specific EIIB component
JKMCHIPE_00276	CDS	318	licA_1		COG1447	Lichenan-specific phosphotransferase enzyme IIA component
JKMCHIPE_00277	CDS	1254	licC_1		COG1455	Lichenan permease IIC component
JKMCHIPE_00278	CDS	465				hypothetical protein
JKMCHIPE_00279	CDS	321				hypothetical protein
JKMCHIPE_00280	CDS	1134		1.1.1.1	COG1063	putative zinc-binding alcohol dehydrogenase
JKMCHIPE_00281	CDS	1695	sph	4.2.1.53		Oleate hydratase
JKMCHIPE_00282	CDS	129				hypothetical protein
JKMCHIPE_00283	CDS	366				hypothetical protein
JKMCHIPE_00284	CDS	366				hypothetical protein
JKMCHIPE_00285	CDS	1428				hypothetical protein
JKMCHIPE_00286	CDS	1836	hdc_1	4.1.1.22		Histidine decarboxylase
JKMCHIPE_00287	CDS	1479	gadC_1		COG0531	putative glutamate/gamma-aminobutyrate antiporter
JKMCHIPE_00288	CDS	1332	cycA_2		COG1113	D-serine/D-alanine/glycine transporter
JKMCHIPE_00289	CDS	2553		7.2.2.10		Calcium-transporting ATPase 1
JKMCHIPE_00290	CDS	1440				hypothetical protein
JKMCHIPE_00291	CDS	363				hypothetical protein
JKMCHIPE_00292	CDS	858	hdfR_1			HTH-type transcriptional regulator HdfR
JKMCHIPE_00293	CDS	912	fabD_1	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
JKMCHIPE_00294	CDS	1647	madA	2.3.1.187		Acetyl-S-ACP:malonate ACP transferase
JKMCHIPE_00295	CDS	300	mdcC			Malonate decarboxylase acyl carrier protein
JKMCHIPE_00296	CDS	1677	accD_1	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
JKMCHIPE_00297	CDS	594	mdcG	2.7.7.66		Phosphoribosyl-dephospho-CoA transferase
JKMCHIPE_00298	CDS	1077				hypothetical protein
JKMCHIPE_00299	CDS	870	citG_1	2.4.2.52	COG1767	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
JKMCHIPE_00300	CDS	765				hypothetical protein
JKMCHIPE_00301	CDS	135				hypothetical protein
JKMCHIPE_00302	CDS	2094				hypothetical protein
JKMCHIPE_00303	CDS	303	ulaB_1	2.7.1.194		Ascorbate-specific PTS system EIIB component
JKMCHIPE_00304	CDS	1290	ulaA_1		COG3037	Ascorbate-specific PTS system EIIC component
JKMCHIPE_00305	CDS	408				hypothetical protein
JKMCHIPE_00306	CDS	870	fba_1	4.1.2.13		Fructose-bisphosphate aldolase
JKMCHIPE_00307	CDS	621	phnN	2.7.4.23		Ribose 1,5-bisphosphate phosphokinase PhnN
JKMCHIPE_00308	CDS	606	nudC	3.6.1.22		NADH pyrophosphatase
JKMCHIPE_00309	CDS	453	slyA_1			Transcriptional regulator SlyA
JKMCHIPE_00310	CDS	522	paiA_1	2.3.1.57	COG0454	Spermidine/spermine N(1)-acetyltransferase
JKMCHIPE_00311	CDS	711				hypothetical protein
JKMCHIPE_00312	CDS	1314	pbuG		COG2252	Guanine/hypoxanthine permease PbuG
JKMCHIPE_00313	CDS	1623	malL_1	3.2.1.10	COG0366	Oligo-1,6-glucosidase
JKMCHIPE_00314	CDS	1497	bglH_1	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
JKMCHIPE_00315	CDS	1746	birA_1	6.3.4.15		Bifunctional ligase/repressor BirA
JKMCHIPE_00316	CDS	1896	bglF_1		COG1263	PTS system beta-glucoside-specific EIIBCA component
JKMCHIPE_00317	CDS	1458	bglH_2	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
JKMCHIPE_00318	CDS	435				hypothetical protein
JKMCHIPE_00319	CDS	1092		1.-.-.-		putative oxidoreductase
JKMCHIPE_00320	CDS	678	hchA_1	3.1.2.-	COG0693	Protein/nucleic acid deglycase 1
JKMCHIPE_00321	CDS	1296	npr_1	1.11.1.1	COG0446	NADH peroxidase
JKMCHIPE_00322	CDS	1461				hypothetical protein
JKMCHIPE_00323	CDS	1497	glpK	2.7.1.30	COG0554	Glycerol kinase
JKMCHIPE_00324	CDS	1824	glpO	1.1.3.21	COG0578	Alpha-glycerophosphate oxidase
JKMCHIPE_00325	CDS	717	glpF		COG0580	Glycerol uptake facilitator protein
JKMCHIPE_00326	CDS	1929	mutS2_1	3.1.-.-		Endonuclease MutS2
JKMCHIPE_00327	CDS	555	pgsA2	2.7.8.41	COG0558	Putative cardiolipin synthase
JKMCHIPE_00328	CDS	315				hypothetical protein
JKMCHIPE_00329	CDS	261				hypothetical protein
JKMCHIPE_00330	CDS	315	glpE_1	2.8.1.1		Thiosulfate sulfurtransferase GlpE
JKMCHIPE_00331	CDS	1656	cdr_1	1.8.1.14		Coenzyme A disulfide reductase
JKMCHIPE_00332	CDS	2136	helD_1	3.6.4.12	COG3973	DNA helicase IV
JKMCHIPE_00333	CDS	510				hypothetical protein
JKMCHIPE_00334	CDS	1305	pgaC	2.4.1.-	COG1215	Poly-beta-1,6-N-acetyl-D-glucosamine synthase
JKMCHIPE_00335	CDS	858	smc_3			Chromosome partition protein Smc
JKMCHIPE_00336	CDS	321				hypothetical protein
JKMCHIPE_00337	CDS	396	dhaM-2	2.7.1.121	COG3412	PEP-dependent dihydroxyacetone kinase 2, phosphoryl donor subunit DhaM
JKMCHIPE_00338	CDS	1011	dhaK	2.7.1.121	COG2376	PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
JKMCHIPE_00339	CDS	606	dhaL_1	2.7.1.121	COG2376	PTS-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
JKMCHIPE_00340	CDS	666				hypothetical protein
JKMCHIPE_00341	CDS	660	anr			Transcriptional activator protein Anr
