locus_tag	ftype	length_bp	gene	EC_number	COG	product
EEFKBDCK_00101	CDS	627				hypothetical protein
EEFKBDCK_00102	CDS	816				hypothetical protein
EEFKBDCK_00103	CDS	159				hypothetical protein
EEFKBDCK_00104	CDS	936	cysB			HTH-type transcriptional regulator CysB
EEFKBDCK_00105	CDS	777				hypothetical protein
EEFKBDCK_00106	CDS	684	cysH	1.8.4.10		Thioredoxin-dependent 5'-adenylylsulfate reductase
EEFKBDCK_00107	CDS	876	gspK	2.7.1.8	COG2971	Glucosamine kinase GspK
EEFKBDCK_00108	CDS	741	nagR_1		COG2188	HTH-type transcriptional repressor NagR
EEFKBDCK_00109	CDS	1263				hypothetical protein
EEFKBDCK_00110	CDS	1242				hypothetical protein
EEFKBDCK_00111	CDS	876	lacF			Lactose transport system permease protein LacF
EEFKBDCK_00112	CDS	840				hypothetical protein
EEFKBDCK_00113	CDS	1101	malK_1	7.5.2.1	COG3839	Maltose/maltodextrin import ATP-binding protein MalK
EEFKBDCK_00114	CDS	237				hypothetical protein
EEFKBDCK_00115	CDS	843				hypothetical protein
EEFKBDCK_00116	CDS	1413	thrC	4.2.3.1	COG0498	Threonine synthase
EEFKBDCK_00117	CDS	1311	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
EEFKBDCK_00118	CDS	1230	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
EEFKBDCK_00119	CDS	369				hypothetical protein
EEFKBDCK_00120	CDS	522	gltS_1		COG0786	Sodium/glutamate symporter
EEFKBDCK_00121	CDS	579	gltS_2		COG0786	Sodium/glutamate symporter
EEFKBDCK_00122	CDS	255				IS21 family transposase ISVasp1
EEFKBDCK_00123	CDS	498				hypothetical protein
EEFKBDCK_00124	CDS	1089				IS3 family transposase ISCARN101
EEFKBDCK_00125	CDS	633				hypothetical protein
EEFKBDCK_00126	CDS	1416	hlyD_1			Hemolysin secretion protein D, chromosomal
EEFKBDCK_00127	CDS	1542				hypothetical protein
EEFKBDCK_00128	CDS	807				hypothetical protein
EEFKBDCK_00129	CDS	810				hypothetical protein
EEFKBDCK_00130	CDS	1584	norR			Anaerobic nitric oxide reductase transcription regulator NorR
EEFKBDCK_00131	CDS	1221	rtcB_1	6.5.1.-	COG1690	RNA-splicing ligase RtcB
EEFKBDCK_00132	CDS	804				hypothetical protein
EEFKBDCK_00133	CDS	1014	rtcA	6.5.1.4	COG0430	RNA 3'-terminal phosphate cyclase
EEFKBDCK_00134	CDS	327				hypothetical protein
EEFKBDCK_00135	CDS	621	prfB_1		COG1186	Peptide chain release factor RF2
EEFKBDCK_00136	CDS	1140	rtcB_2	6.5.1.-	COG1690	RNA-splicing ligase RtcB
EEFKBDCK_00137	CDS	624				hypothetical protein
EEFKBDCK_00138	CDS	636				hypothetical protein
EEFKBDCK_00139	CDS	543				hypothetical protein
EEFKBDCK_00140	CDS	363				hypothetical protein
EEFKBDCK_00141	CDS	267				IS3 family transposase ISXcd1
EEFKBDCK_00142	CDS	828				IS3 family transposase ISShfr8
EEFKBDCK_00143	CDS	369				hypothetical protein
EEFKBDCK_00144	CDS	504				hypothetical protein
EEFKBDCK_00145	CDS	681				hypothetical protein
EEFKBDCK_00146	CDS	462				hypothetical protein
EEFKBDCK_00147	CDS	4761				hypothetical protein
EEFKBDCK_00148	CDS	498				hypothetical protein
EEFKBDCK_00149	CDS	342				hypothetical protein
EEFKBDCK_00150	CDS	336				hypothetical protein
EEFKBDCK_00151	CDS	330				hypothetical protein
EEFKBDCK_00152	CDS	339				hypothetical protein
EEFKBDCK_00153	CDS	354				hypothetical protein
EEFKBDCK_00154	CDS	375				hypothetical protein
EEFKBDCK_00155	CDS	267				IS3 family transposase ISXcd1
EEFKBDCK_00156	CDS	828				IS3 family transposase ISShfr8
EEFKBDCK_00157	CDS	1032				hypothetical protein
EEFKBDCK_00158	tmRNA	365	ssrA			transfer-messenger RNA, SsrA
EEFKBDCK_00159	CDS	654	mupP	3.1.3.105	COG0546	N-acetylmuramic acid 6-phosphate phosphatase
EEFKBDCK_00160	CDS	108	gph_1	3.1.3.18		Phosphoglycolate phosphatase
EEFKBDCK_00161	CDS	711	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
EEFKBDCK_00162	CDS	240				hypothetical protein
EEFKBDCK_00163	CDS	198				hypothetical protein
EEFKBDCK_00164	CDS	492				hypothetical protein
EEFKBDCK_00165	CDS	1110	roxA	1.14.11.47	COG2850	50S ribosomal protein L16 3-hydroxylase
EEFKBDCK_00166	CDS	468	bcp_1	1.11.1.15	COG1225	Putative peroxiredoxin
EEFKBDCK_00167	CDS	480	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
EEFKBDCK_00168	CDS	2859				hypothetical protein
EEFKBDCK_00169	CDS	1029		3.5.4.2	COG1816	Adenine deaminase
EEFKBDCK_00170	CDS	555				hypothetical protein
EEFKBDCK_00171	CDS	555				hypothetical protein
EEFKBDCK_00172	CDS	1083	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
EEFKBDCK_00173	CDS	429				hypothetical protein
EEFKBDCK_00174	CDS	918				hypothetical protein
EEFKBDCK_00175	CDS	633				hypothetical protein
EEFKBDCK_00176	CDS	1071				hypothetical protein
EEFKBDCK_00177	CDS	456	ycdZ			Inner membrane protein YcdZ
EEFKBDCK_00178	CDS	1050				hypothetical protein
EEFKBDCK_00179	CDS	3396				hypothetical protein
EEFKBDCK_00180	CDS	1212	sbcD		COG0420	Nuclease SbcCD subunit D
EEFKBDCK_00181	CDS	210				hypothetical protein
EEFKBDCK_00182	CDS	372	ves		COG3758	Protein Ves
EEFKBDCK_00183	CDS	2733				hypothetical protein
EEFKBDCK_00184	CDS	1317				hypothetical protein
EEFKBDCK_00185	CDS	1317				hypothetical protein
EEFKBDCK_00186	CDS	1314				hypothetical protein
EEFKBDCK_00187	CDS	1452	aerA			Aerolysin
EEFKBDCK_00188	CDS	3507	bvgS	2.7.13.3		Virulence sensor protein BvgS
EEFKBDCK_00189	CDS	627	bvgA			Virulence factors putative positive transcription regulator BvgA
EEFKBDCK_00190	CDS	879				hypothetical protein
EEFKBDCK_00191	CDS	588				hypothetical protein
EEFKBDCK_00192	CDS	684	ecpB			putative fimbrial chaperone EcpB
EEFKBDCK_00193	CDS	2616	ecpC			putative outer membrane usher protein EcpC
EEFKBDCK_00194	CDS	930				hypothetical protein
EEFKBDCK_00195	CDS	3600				hypothetical protein
EEFKBDCK_00196	CDS	630				hypothetical protein
EEFKBDCK_00197	CDS	3057	mdtC_1		COG0841	Multidrug resistance protein MdtC
EEFKBDCK_00198	CDS	1116	mdtA_1			Multidrug resistance protein MdtA
EEFKBDCK_00199	CDS	1293	lplT_1			Lysophospholipid transporter LplT
EEFKBDCK_00200	CDS	1074	dadX	5.1.1.1	COG0787	Alanine racemase, catabolic
EEFKBDCK_00201	CDS	111				hypothetical protein
EEFKBDCK_00202	CDS	1227	lysC	2.7.2.4	COG0527	Aspartokinase
EEFKBDCK_00203	CDS	153				hypothetical protein
EEFKBDCK_00204	tRNA	93				tRNA-Ser(gct)
EEFKBDCK_00205	tRNA	77				tRNA-Arg(acg)
EEFKBDCK_00206	tRNA	75				tRNA-Glu(ttc)
EEFKBDCK_00207	tRNA	77				tRNA-Arg(acg)
EEFKBDCK_00208	tRNA	75				tRNA-Glu(ttc)
EEFKBDCK_00209	CDS	6519	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
EEFKBDCK_00210	CDS	1377	accC	6.3.4.14	COG0439	Biotin carboxylase
EEFKBDCK_00211	CDS	462	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
EEFKBDCK_00212	CDS	456	aroQ1	4.2.1.10	COG0757	3-dehydroquinate dehydratase 1
EEFKBDCK_00213	CDS	1026	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
EEFKBDCK_00214	CDS	1116	tgt	2.4.2.29	COG0343	Queuine tRNA-ribosyltransferase
EEFKBDCK_00215	CDS	1269	pyrD_1	1.3.-.-		Dihydroorotate dehydrogenase
EEFKBDCK_00216	CDS	717	rph	2.7.7.56	COG0689	Ribonuclease PH
EEFKBDCK_00217	CDS	678				hypothetical protein
EEFKBDCK_00218	CDS	906				hypothetical protein
EEFKBDCK_00219	CDS	969	spk1	2.7.11.1		Serine/threonine-protein kinase PK-1
EEFKBDCK_00220	CDS	867				hypothetical protein
EEFKBDCK_00221	CDS	1719	nfdA	3.5.1.91		N-substituted formamide deformylase
EEFKBDCK_00222	CDS	678				hypothetical protein
EEFKBDCK_00223	CDS	870	prs_1			Putative ribose-phosphate pyrophosphokinase
EEFKBDCK_00224	CDS	1467				hypothetical protein
EEFKBDCK_00225	CDS	789	hmuV	3.6.3.-	COG4559	Hemin import ATP-binding protein HmuV
EEFKBDCK_00226	CDS	1023	hmuU_1		COG0609	Hemin transport system permease protein HmuU
EEFKBDCK_00227	CDS	807	hmuT		COG4558	Hemin-binding periplasmic protein HmuT
EEFKBDCK_00228	CDS	1047	hemS		COG3720	Hemin transport protein HemS
EEFKBDCK_00229	CDS	2136	hxuC		COG1629	Heme/hemopexin utilization protein C
EEFKBDCK_00230	CDS	1272	chuW	2.1.1.342		Anaerobilin synthase
EEFKBDCK_00231	CDS	507	hutX		COG3721	Intracellular heme transport protein HutX
EEFKBDCK_00232	CDS	648				hypothetical protein
EEFKBDCK_00233	CDS	774				hypothetical protein
EEFKBDCK_00234	CDS	3051	mdtC_2			Multidrug resistance protein MdtC
EEFKBDCK_00235	CDS	1125	mdtA_2			Multidrug resistance protein MdtA
EEFKBDCK_00236	CDS	1422	cusC		COG1538	Cation efflux system protein CusC
EEFKBDCK_00237	CDS	618	gmk	2.7.4.8	COG0194	Guanylate kinase
EEFKBDCK_00238	CDS	207	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
EEFKBDCK_00239	CDS	2190	spoT	3.1.7.2	COG0317	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase
EEFKBDCK_00240	CDS	201				hypothetical protein
EEFKBDCK_00241	CDS	789	thiG	2.8.1.10	COG2022	Thiazole synthase
EEFKBDCK_00242	CDS	681	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
EEFKBDCK_00243	CDS	414				hypothetical protein
EEFKBDCK_00244	CDS	1275				hypothetical protein
EEFKBDCK_00245	CDS	324				hypothetical protein
EEFKBDCK_00246	CDS	711				hypothetical protein
EEFKBDCK_00247	CDS	741	coaX	2.7.1.33		Type III pantothenate kinase
EEFKBDCK_00248	CDS	966	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
EEFKBDCK_00249	CDS	816	rssB			Regulator of RpoS
EEFKBDCK_00250	CDS	534	hslV_1	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
EEFKBDCK_00251	CDS	1116				hypothetical protein
EEFKBDCK_00252	CDS	2001				hypothetical protein
EEFKBDCK_00253	CDS	501				hypothetical protein
EEFKBDCK_00254	tRNA	85				tRNA-Leu(gag)
EEFKBDCK_00255	CDS	1062	hisC_1	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
EEFKBDCK_00256	CDS	588				hypothetical protein
EEFKBDCK_00257	CDS	138				hypothetical protein
EEFKBDCK_00258	CDS	1902	htpG		COG0326	Chaperone protein HtpG
EEFKBDCK_00259	CDS	327				hypothetical protein
EEFKBDCK_00260	CDS	813	menH	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
EEFKBDCK_00261	CDS	405	msrB	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
EEFKBDCK_00262	CDS	531				hypothetical protein
EEFKBDCK_00263	CDS	513	yccS		COG1289	Inner membrane protein YccS
EEFKBDCK_00264	CDS	1197	tsgA		COG0477	Protein TsgA
EEFKBDCK_00265	CDS	831	punA	2.4.2.1		Purine nucleoside phosphorylase 1
EEFKBDCK_00266	CDS	1314				hypothetical protein
EEFKBDCK_00267	CDS	1464	lysP		COG0833	Lysine-specific permease
EEFKBDCK_00268	CDS	1614				hypothetical protein
EEFKBDCK_00269	CDS	1389				hypothetical protein
EEFKBDCK_00270	CDS	714				hypothetical protein
EEFKBDCK_00271	CDS	750				hypothetical protein
EEFKBDCK_00272	CDS	489				hypothetical protein
EEFKBDCK_00273	CDS	342				hypothetical protein
EEFKBDCK_00274	CDS	690				hypothetical protein
EEFKBDCK_00275	CDS	2187				hypothetical protein
EEFKBDCK_00276	CDS	543				hypothetical protein
EEFKBDCK_00277	CDS	1254	pfp	2.7.1.90	COG0205	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
EEFKBDCK_00278	CDS	936	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
EEFKBDCK_00279	CDS	1950	mutL			DNA mismatch repair protein MutL
EEFKBDCK_00280	CDS	450				hypothetical protein
EEFKBDCK_00281	CDS	729	dipZ		COG0785	Protein DipZ
EEFKBDCK_00282	CDS	387				hypothetical protein
EEFKBDCK_00283	CDS	1380	amiC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
EEFKBDCK_00284	CDS	495	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
EEFKBDCK_00285	CDS	1179	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
EEFKBDCK_00286	CDS	771	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
EEFKBDCK_00287	CDS	687	crp_1		COG0664	CRP-like cAMP-activated global transcriptional regulator
EEFKBDCK_00288	CDS	105				hypothetical protein
EEFKBDCK_00289	CDS	600	mltC	4.2.2.-		Membrane-bound lytic murein transglycosylase C
EEFKBDCK_00290	CDS	315				hypothetical protein
EEFKBDCK_00291	CDS	1290	pyrB_1	2.1.3.2		Aspartate carbamoyltransferase
EEFKBDCK_00292	CDS	972		3.1.4.-	COG2206	Cyclic di-GMP phosphodiesterase
EEFKBDCK_00293	CDS	195	iscX		COG2975	Protein IscX
EEFKBDCK_00294	CDS	339	fdx_1		COG0633	2Fe-2S ferredoxin
EEFKBDCK_00295	CDS	1857	hscA		COG0443	Chaperone protein HscA
EEFKBDCK_00296	CDS	534	hscB		COG1076	Co-chaperone protein HscB
EEFKBDCK_00297	CDS	324	iscA		COG0316	Iron-binding protein IscA
EEFKBDCK_00298	CDS	381	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
EEFKBDCK_00299	CDS	1215	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
EEFKBDCK_00300	CDS	486	iscR		COG1959	HTH-type transcriptional regulator IscR
EEFKBDCK_00301	CDS	750	dapH_1	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
EEFKBDCK_00302	CDS	2172	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
EEFKBDCK_00303	CDS	2028	glgX	3.2.1.196	COG1523	Glycogen debranching enzyme
EEFKBDCK_00304	CDS	1626	pgm	5.4.2.2	COG0033	Phosphoglucomutase
EEFKBDCK_00305	CDS	663	yiaD		COG2885	putative lipoprotein YiaD
EEFKBDCK_00306	CDS	726	plsC	2.3.1.51	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
EEFKBDCK_00307	CDS	285				hypothetical protein
EEFKBDCK_00308	CDS	231				hypothetical protein
EEFKBDCK_00309	CDS	141				hypothetical protein
EEFKBDCK_00310	CDS	1707				hypothetical protein
EEFKBDCK_00311	CDS	1008				hypothetical protein
EEFKBDCK_00312	CDS	294				hypothetical protein
EEFKBDCK_00313	CDS	396				IS481 family transposase IS1419
EEFKBDCK_00314	CDS	186				hypothetical protein
EEFKBDCK_00315	CDS	669	yecS		COG0765	L-cystine transport system permease protein YecS
EEFKBDCK_00316	CDS	777	fliY_1		COG0834	L-cystine-binding protein FliY
EEFKBDCK_00317	CDS	1128	patB	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
EEFKBDCK_00318	CDS	444			COG1846	putative HTH-type transcriptional regulator/GBAA_1941/BAS1801
EEFKBDCK_00319	CDS	1551	bmr3			Multidrug resistance protein 3
EEFKBDCK_00320	CDS	1242	sstT		COG3633	Serine/threonine transporter SstT
EEFKBDCK_00321	CDS	321				hypothetical protein
EEFKBDCK_00322	CDS	207	copZ			Copper chaperone CopZ
EEFKBDCK_00323	CDS	2097	copA_1	7.2.2.8	COG2217	Copper-exporting P-type ATPase
EEFKBDCK_00324	CDS	450			COG2703	Bacteriohemerythrin
EEFKBDCK_00325	CDS	1098				hypothetical protein
EEFKBDCK_00326	CDS	1476				hypothetical protein
EEFKBDCK_00327	CDS	2619	pepN	3.4.11.2	COG0308	Aminopeptidase N
EEFKBDCK_00328	CDS	1662	sir	1.8.7.1	COG0155	Sulfite reductase [ferredoxin]
EEFKBDCK_00329	CDS	501				hypothetical protein
EEFKBDCK_00330	CDS	1203	cdgJ_1	3.1.4.52	COG3434	Cyclic di-GMP phosphodiesterase CdgJ
EEFKBDCK_00331	CDS	843				hypothetical protein
EEFKBDCK_00332	CDS	450	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
EEFKBDCK_00333	CDS	681	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
EEFKBDCK_00334	CDS	213				hypothetical protein
EEFKBDCK_00335	CDS	822				hypothetical protein
EEFKBDCK_00336	CDS	1821	typA		COG1217	GTP-binding protein TypA/BipA
EEFKBDCK_00337	CDS	399	hslR		COG1188	Heat shock protein 15
EEFKBDCK_00338	CDS	1263	pleD_1			Response regulator PleD
EEFKBDCK_00339	CDS	1809				hypothetical protein
EEFKBDCK_00340	CDS	588				hypothetical protein
EEFKBDCK_00341	CDS	387			COG0346	Virulence protein
EEFKBDCK_00342	CDS	681				hypothetical protein
EEFKBDCK_00343	CDS	900	rarD_1		COG2962	Protein RarD
EEFKBDCK_00344	CDS	261	pepD_1	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
EEFKBDCK_00345	CDS	1179	pepD_2	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
EEFKBDCK_00346	CDS	756	petJ_1			Cytochrome c6
EEFKBDCK_00347	tRNA	77				tRNA-Arg(ccg)
EEFKBDCK_00348	CDS	600				hypothetical protein
EEFKBDCK_00349	CDS	1287	pqiA		COG2995	Intermembrane transport protein PqiA
EEFKBDCK_00350	CDS	1680	pqiB		COG3008	Intermembrane transport protein PqiB
EEFKBDCK_00351	CDS	558	pqiC		COG3009	Intermembrane transport lipoprotein PqiC
EEFKBDCK_00352	CDS	270				hypothetical protein
EEFKBDCK_00353	CDS	540				hypothetical protein
EEFKBDCK_00354	CDS	462				hypothetical protein
EEFKBDCK_00355	CDS	975	rlmF	2.1.1.181	COG3129	Ribosomal RNA large subunit methyltransferase F
EEFKBDCK_00356	CDS	807				hypothetical protein
EEFKBDCK_00357	CDS	534				hypothetical protein
EEFKBDCK_00358	CDS	1785				hypothetical protein
EEFKBDCK_00359	CDS	540				hypothetical protein
EEFKBDCK_00360	CDS	3027				hypothetical protein
EEFKBDCK_00361	CDS	486				hypothetical protein
EEFKBDCK_00362	CDS	696				hypothetical protein
EEFKBDCK_00363	CDS	1350				hypothetical protein
EEFKBDCK_00364	CDS	564				hypothetical protein
EEFKBDCK_00365	CDS	843				hypothetical protein
EEFKBDCK_00366	CDS	3786				hypothetical protein
EEFKBDCK_00367	CDS	984				hypothetical protein
EEFKBDCK_00368	CDS	504				hypothetical protein
EEFKBDCK_00369	CDS	1482				hypothetical protein
EEFKBDCK_00370	CDS	498	hcp1		COG3157	Protein hcp1
EEFKBDCK_00371	CDS	468				hypothetical protein
EEFKBDCK_00372	CDS	2841				hypothetical protein
EEFKBDCK_00373	CDS	1284				hypothetical protein
EEFKBDCK_00374	CDS	474				hypothetical protein
EEFKBDCK_00375	CDS	753				hypothetical protein
EEFKBDCK_00376	CDS	477				hypothetical protein
EEFKBDCK_00377	CDS	315				hypothetical protein
EEFKBDCK_00378	CDS	378				hypothetical protein
EEFKBDCK_00379	CDS	642				hypothetical protein
EEFKBDCK_00380	CDS	267				IS3 family transposase ISXcd1
EEFKBDCK_00381	CDS	828				IS3 family transposase ISShfr8
EEFKBDCK_00382	CDS	531				hypothetical protein
EEFKBDCK_00383	CDS	570				hypothetical protein
EEFKBDCK_00384	CDS	198				hypothetical protein
