# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	7217	8188	+							EII11_00035	972		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	7217	8188	+	RRC96109.1			hypothetical protein			EII11_00035	972	323	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	8236	10065	+							EII11_00040	1830		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	8236	10065	+	RRC96529.1			HAD-IIA family hydrolase			EII11_00040	1830	609	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	10065	10256	+							EII11_00045	192		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	10065	10256	+	RRC96110.1			hypothetical protein			EII11_00045	192	63	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	10253	11098	+							EII11_00050	846		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	10253	11098	+	RRC96111.1			TlyA family RNA methyltransferase			EII11_00050	846	281	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	11110	11994	+							EII11_00055	885		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	11110	11994	+	RRC96530.1			NAD kinase			EII11_00055	885	294	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	11991	13658	+					recN		EII11_00060	1668		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	11991	13658	+	RRC96112.1			DNA repair protein RecN	recN		EII11_00060	1668	555	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	13655	14860	+							EII11_00065	1206		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	13655	14860	+	RRC96113.1			thiamine pyrophosphokinase			EII11_00065	1206	401	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	14876	15799	+							EII11_00070	924		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	14876	15799	+	RRC96114.1			hypothetical protein			EII11_00070	924	307	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	15891	16541	+							EII11_00075	651		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	15891	16541	+	RRC96115.1			NUDIX hydrolase			EII11_00075	651	216	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	16740	17435	+							EII11_00080	696		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	16740	17435	+	RRC96116.1			HTH domain-containing protein			EII11_00080	696	231	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	17477	18925	+					sufB		EII11_00085	1449		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	17477	18925	+	RRC96117.1			Fe-S cluster assembly protein SufB	sufB		EII11_00085	1449	482	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	18927	20126	+					sufD		EII11_00090	1200		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	18927	20126	+	RRC96118.1			Fe-S cluster assembly protein SufD	sufD		EII11_00090	1200	399	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	20206	20958	+					sufC		EII11_00095	753		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	20206	20958	+	RRC96119.1			Fe-S cluster assembly ATPase SufC	sufC		EII11_00095	753	250	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	21030	22358	+					sufS		EII11_00100	1329		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	21030	22358	+	RRC96531.1			SufS family cysteine desulfurase	sufS		EII11_00100	1329	442	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	22358	22828	+							EII11_00105	471		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	22358	22828	+	RRC96120.1			SUF system NifU family Fe-S cluster assembly protein			EII11_00105	471	156	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	22855	23253	+							EII11_00110	399		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	22855	23253	+	RRC96532.1			metal-sulfur cluster assembly factor			EII11_00110	399	132	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	23528	25228	-							EII11_00115	1701		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	23528	25228	-	RRC96121.1			long-chain fatty acid--CoA ligase			EII11_00115	1701	566	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	25368	26264	-							EII11_00120	897		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	25368	26264	-	RRC96122.1			neutral zinc metallopeptidase			EII11_00120	897	298	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	26267	27622	-							EII11_00125	1356		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	26267	27622	-	RRC96123.1			tRNA guanosine(34) transglycosylase Tgt			EII11_00125	1356	451	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	27619	28407	-							EII11_00130	789		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	27619	28407	-	RRC96124.1			VUT family protein			EII11_00130	789	262	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	28555	30165	+							EII11_00135	1611		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	28555	30165	+	RRC96125.1			ABC transporter ATP-binding protein			EII11_00135	1611	536	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	30162	31382	-							EII11_00140	1221		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	30162	31382	-	RRC96126.1			homoserine O-acetyltransferase			EII11_00140	1221	406	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	31738	32517	-							EII11_00145	780		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	31738	32517	-	RRC96127.1			amino acid ABC transporter ATP-binding protein			EII11_00145	780	259	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	32514	33455	-							EII11_00150	942		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	32514	33455	-	RRC96128.1			amino acid ABC transporter permease			EII11_00150	942	313	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	33528	34463	-							EII11_00155	936		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	33528	34463	-	RRC96129.1			ABC transporter substrate-binding protein			EII11_00155	936	311	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	34635	35333	-							EII11_00160	699		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	34635	35333	-	RRC96130.1			DUF4191 domain-containing protein			EII11_00160	699	232	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	35487	36692	-							EII11_00165	1206		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	35487	36692	-	RRC96131.1			MFS transporter			EII11_00165	1206	401	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	36877	38277	+							EII11_00170	1401		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	36877	38277	+	RRC96132.1			hypothetical protein			EII11_00170	1401	466	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	38383	40137	-					sucB		EII11_00175	1755		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	38383	40137	-	RRC96133.1			2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase	sucB		EII11_00175	1755	584	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	40165	41538	-					lpdA		EII11_00180	1374		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	40165	41538	-	RRC96134.1			dihydrolipoyl dehydrogenase	lpdA		EII11_00180	1374	457	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	41704	42165	-							EII11_00185	462		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	41704	42165	-	RRC96135.1			tRNA (cytidine(34)-2'-O)-methyltransferase			EII11_00185	462	153	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	42190	42723	-							EII11_00190	534		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	42190	42723	-	RRC96136.1			YbhB/YbcL family Raf kinase inhibitor-like protein			EII11_00190	534	177	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	42824	43357	+							EII11_00195	534		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	42824	43357	+	RRC96137.1			hypothetical protein			EII11_00195	534	177	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	43354	45060	+							EII11_00200	1707		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	43354	45060	+	RRC96138.1			DNA polymerase Y family protein			EII11_00200	1707	568	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	45104	45718	+							EII11_00205	615		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	45104	45718	+	RRC96139.1			thymidine kinase			EII11_00205	615	204	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	45769	49002	+							EII11_00210	3234		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	45769	49002	+	RRC96140.1			DEAD/DEAH box helicase			EII11_00210	3234	1077	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	49064	50095	-							EII11_00215	1032		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	49064	50095	-	RRC96533.1			zinc-binding dehydrogenase			EII11_00215	1032	343	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	50159	53497	+					dnaE		EII11_00220	3339		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	50159	53497	+	RRC96141.1			DNA polymerase III subunit alpha	dnaE		EII11_00220	3339	1112	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	53583	54101	+							EII11_00225	519		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	53583	54101	+	RRC96142.1			MarR family transcriptional regulator			EII11_00225	519	172	
gene	tRNA	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	54339	54425	+							EII11_00230	87		
tRNA		GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	54339	54425	+				tRNA-Leu			EII11_00230	87		anticodon=GAG
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	54607	55293	+							EII11_00235	687		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	54607	55293	+	RRC96143.1			DsbA family oxidoreductase			EII11_00235	687	228	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	55290	56363	+							EII11_00240	1074		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	55290	56363	+	RRC96144.1			GNAT family N-acetyltransferase			EII11_00240	1074	357	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	56532	57629	+							EII11_00245	1098		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	56532	57629	+	RRC96145.1			FAD-dependent oxidoreductase			EII11_00245	1098	365	
gene	pseudogene	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	57865	57972	-							EII11_00250	108		pseudo
CDS	without_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	57865	57972	-				transport protein			EII11_00250	108		pseudo
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	58037	58978	-							EII11_00255	942		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	58037	58978	-	RRC96146.1			aldo/keto reductase			EII11_00255	942	313	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	59069	59926	+							EII11_00260	858		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	59069	59926	+	RRC96147.1			undecaprenyl-diphosphate phosphatase			EII11_00260	858	285	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	59932	60624	+							EII11_00265	693		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	59932	60624	+	RRC96148.1			HAD family phosphatase			EII11_00265	693	230	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	60647	61600	-							EII11_00270	954		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	60647	61600	-	RRC96149.1			PD-(D/E)XK nuclease family protein			EII11_00270	954	317	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	61684	62778	+							EII11_00275	1095		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	61684	62778	+	RRC96150.1			tRNA (adenine-N1)-methyltransferase			EII11_00275	1095	364	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	62771	64366	+					arc		EII11_00280	1596		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	62771	64366	+	RRC96151.1			proteasome ATPase	arc		EII11_00280	1596	531	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	64363	65934	+							EII11_00285	1572		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	64363	65934	+	RRC96152.1			proteasome accessory factor PafA2			EII11_00285	1572	523	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	65983	66162	+							EII11_00290	180		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	65983	66162	+	RRC96153.1			ubiquitin-like protein Pup			EII11_00290	180	59	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	66164	67552	+					pafA		EII11_00295	1389		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	66164	67552	+	RRC96154.1			Pup--protein ligase	pafA		EII11_00295	1389	462	
gene	pseudogene	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	67912	68667	+							EII11_00300	756		pseudo
CDS	without_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	67912	68667	+				peptidylprolyl isomerase			EII11_00300	756		pseudo
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	68836	70059	+							EII11_00305	1224		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	68836	70059	+	RRC96155.1			chorismate synthase			EII11_00305	1224	407	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	70052	71650	+							EII11_00310	1599		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	70052	71650	+	RRC96156.1			3-dehydroquinate synthase			EII11_00310	1599	532	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	71640	72203	+							EII11_00315	564		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	71640	72203	+	RRC96157.1			shikimate kinase			EII11_00315	564	187	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	72247	72810	+					efp		EII11_00320	564		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	72247	72810	+	RRC96158.1			elongation factor P	efp		EII11_00320	564	187	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	72810	73604	+					nusB		EII11_00325	795		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	72810	73604	+	RRC96159.1			transcription antitermination factor NusB	nusB		EII11_00325	795	264	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	73767	74963	+							EII11_00330	1197		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	73767	74963	+	RRC96160.1			hypothetical protein			EII11_00330	1197	398	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	75124	75699	+					pyrR		EII11_00335	576		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	75124	75699	+	RRC96161.1			bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	pyrR		EII11_00335	576	191	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	75701	76693	+							EII11_00340	993		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	75701	76693	+	RRC96162.1			aspartate carbamoyltransferase catalytic subunit			EII11_00340	993	330	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	76686	77999	+							EII11_00345	1314		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	76686	77999	+	RRC96163.1			dihydroorotase			EII11_00345	1314	437	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	77996	78493	+							EII11_00350	498		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	77996	78493	+	RRC96164.1			hypothetical protein			EII11_00350	498	165	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	78493	81792	+							EII11_00355	3300		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	78493	81792	+	RRC96165.1			carbamoyl-phosphate synthase large subunit			EII11_00355	3300	1099	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	81789	82637	+					pyrF		EII11_00360	849		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	81789	82637	+	RRC96166.1			orotidine-5'-phosphate decarboxylase	pyrF		EII11_00360	849	282	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	82730	83041	+							EII11_00365	312		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	82730	83041	+	RRC96167.1			integration host factor MihF			EII11_00365	312	103	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	83061	83618	+							EII11_00370	558		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	83061	83618	+	RRC96168.1			guanylate kinase			EII11_00370	558	185	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	83710	83976	+							EII11_00375	267		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	83710	83976	+	RRC96169.1			DNA-directed RNA polymerase subunit omega			EII11_00375	267	88	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	83984	85234	+					coaBC		EII11_00380	1251		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	83984	85234	+	RRC96170.1			bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC	coaBC		EII11_00380	1251	416	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	85231	86427	+							EII11_00385	1197		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	85231	86427	+	RRC96171.1			methionine adenosyltransferase			EII11_00385	1197	398	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	86562	87107	+							EII11_00390	546		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	86562	87107	+	RRC96534.1			vitamin K epoxide reductase family protein			EII11_00390	546	181	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	87152	89251	+							EII11_00395	2100		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	87152	89251	+	RRC96172.1			primosomal protein N'			EII11_00395	2100	699	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	89288	90277	+							EII11_00400	990		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	89288	90277	+	RRC96173.1			methionyl-tRNA formyltransferase			EII11_00400	990	329	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	90277	91752	+							EII11_00405	1476		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	90277	91752	+	RRC96174.1			16S rRNA methyltransferase			EII11_00405	1476	491	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	91839	92501	+					rpe		EII11_00410	663		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	91839	92501	+	RRC96175.1			ribulose-phosphate 3-epimerase	rpe		EII11_00410	663	220	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	92788	93552	+							EII11_00415	765		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	92788	93552	+	RRC96176.1			ABC transporter permease			EII11_00415	765	254	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	93557	94615	+							EII11_00420	1059		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	93557	94615	+	RRC96177.1			ABC transporter substrate-binding protein			EII11_00420	1059	352	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	94709	95716	+							EII11_00425	1008		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	94709	95716	+	RRC96178.1			WYL domain-containing protein			EII11_00425	1008	335	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	95709	96698	+							EII11_00430	990		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	95709	96698	+	RRC96179.1			WYL domain-containing protein			EII11_00430	990	329	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	96695	99496	+							EII11_00435	2802		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	96695	99496	+	RRC96180.1			DEAD/DEAH box helicase			EII11_00435	2802	933	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	99481	101127	+					lnt		EII11_00440	1647		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	99481	101127	+	RRC96181.1			apolipoprotein N-acyltransferase	lnt		EII11_00440	1647	548	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	101202	101567	-							EII11_00445	366		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	101202	101567	-	RRC96182.1			RNA polymerase-binding protein RbpA			EII11_00445	366	121	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	101770	103320	+							EII11_00450	1551		
